yanImljiva	Aspfsny	yanimljiv
tAd	Rgp	tad
sam	Var1s	biti
jA	Pp1-sn	ja
bIla	Vmp-sf	biti
mlAđa	Agcfsny	mlad
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
na	Sa	na
prImer	Ncmsan	primer
jEdanput	Rgp	jedanput
bIla	Vapf	biti
mAla	Ncfsn	mala
mlAda	Agpfsny	mlad
pa	Cc	pa
ali	Cc	ali
.	Z	.

svE	Pi-nsn	sav
tO	Pd-nsn	taj
.	Z	.

po	Sl	po
mEni	Ncfsl	mena
Isto	Agpnsny	isti
i	Cc	i
na	Sa	na
drUge	Mlofpn	drugi
sam	Var1s	biti
jA	Pp1-sn	ja
svAdbe	Ncfpn	svadba
bIla	Vcp-sf	biti
i	Cc	i
ne	Qz	ne
sAmo	Rgp	samo
u	Sa	u
knjAževac	Npmsan	knjaževac
.	Z	.

ali	Cc	ali
.	Z	.

tAd	Rgp	tad
kAd	Cs	kad
sam	Var1s	biti
bIla	Vmp-sf	biti
mAla	Ncfsn	mala
mlAda	Agpfsny	mlad
znAm	Vmr1s	znati
da	Cs	da
ovA	Pdsn	ovaj
mlAdevesta	Ncmsn	mladevesta
.	Z	.

preskakAla	Vmp-sf	preskakati
bilA	Vmp-sf	biti
.	Z	.

((?))	X	((?))
.	Z	.

sekIrče	Ncnsn	sekirče
.	Z	.

i	Cc	i
imAlo	Vmp-sn	imati
žArče	Rgc	žarko
u	Sl	u
nekU	Npmsl	nek
.	Z	.

da	Cs	da
e	Var3s	biti
onO	Pd-nsn	onaj
bIlo	Vmp-sn	biti
tepsIče	Px--sa	tepsIče
nkO	Vmp-sn	nti
ili	Cc	ili
.	Z	.

((?))	X	((?))
ovA	Pd-fsn	ovaj
.	Z	.

ili	Cc	ili
ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
je	Var3s	biti
bIlo	Vapn	biti
nEšto	Agpnsny	nešt
metAlno	Agpnsny	metalan
stvArno	Agpnsny	stvaran
se	Px--sa	sebe
ne	Qz	ne
sEćam	Vmr1s	sećati
bIla	Vmp-sf	biti
sam	Var1s	biti
mala	Agpfsn	mali
bIla	Vmp-sf	biti
sam	Var1s	biti
.	Z	.

pRvi	Mlomsn	prvi
rAzred	Ncmsn	razred
mIslim	Vmr1s	misliti
da	Cs	da
nIsam	Var1s	biti
bIla	Vmp-sf	biti
jOš	Rgp	još
.	Z	.

i	Cc	i
.	Z	.

tO	Pdsn	taj
se	Pxsa	sebe
jedIno	Rgp	jedino
sEćam	Vmr1s	sećati
a	Cc	a
pOse	Rgp	posle
svE	Pi-nsn	sav
si	Px--sd	sebe
ostAl	Px--sa	ostAl
bIlo	Vmp-sn	biti
Isto	Agpnsny	isti
.	Z	.

onO	Agpnsny	oni
bacAnje	Ncnsn	bacanje
sIto	Rgp	sito
na	Sa	na
.	Z	.

krOv	Ncmsn	krov
Onda	Rgp	onda
.	Z	.

štO	Cs	što
se	Pxsa	sebe
bacAju	Vmr3p	bacati
One	Pd-fpn	onaj
lAtice	Ncfpn	latica
Ispred	Sg	ispred
cRkvu	Ncfsa	crkva
il	Cc	ili
i	Cc	i
ovAj	Pd-msn	ovaj
.	Z	.

kaO	Cs	kao
se	Px--sa	sebe
zovE	Vmr3s	zvati
i	Cc	i
pirInač	Ncmsn	pirinač
vAljda	Rgp	valjda
.	Z	.

i	Cc	i
tO	Pd-nsn	taj
je	Var3s	biti
svE	Pi-nsn	sav
ostAlo	Vmp-sn	ostati
Isto	Agpnsny	isti
i	Cc	i
pOsle	Rgp	posle
vesElje	Ncnsa	veselje
sAmo	Rgp	samo
.	Z	.

sAda	Rgp	sada
mIsim	Vmr1s	misliti
da	Cs	da
vIše	Rgc	mnogo
ni	Cc	ni
tO	Pd-nsn	taj
i	Cc	i
onAj	Pd-msn	onaj
jAbuke	Ncfpn	jabuka
štO	Cs	što
se	Pxsa	sebe
pUcaju	Vmr3p	pucati
štO	Pi3n	što
se	Pxsa	sebe
stAve	Vmr3p	staviti
na	Sa	na
vR	Ncmsan	vrh
.	Z	.

((?))	X	((?))
stUb	Ncmsn	stub
nekI	Pi-mpn	neki
ili	Cc	ili
na	Sa	na
prImer	Ncmsan	primer
na	Sa	na
bandEru	Ncfsa	Bandera
.	Z	.

tO	Pd-nsn	taj
je	Vcr3s	biti
tO	Pd-nsn	taj
.	Z	.

nIsu	Var3p	biti
na	Sa	na
prImer	Ncmsan	primer
.	Z	.

što	Cs	što
Ima	Vmr3s	imati
.	Z	.

bIlo	Vapn	biti
je	Var3s	biti
kao	Cs	kao
da	Cs	da
se	Px--sa	sebe
ukrAdne	Vmr3s	ukradnuti
ovOm	Pdsi	ovaj
.	Z	.

dEveru	Ncmsd	dever
trEba	Vmr3s	trebati
da	Cs	da
se	Px--sa	sebe
ukrAdne	Vmr3s	ukradnuti
kao	Cs	kao
.	Z	.

barjAk	Ncmsn	barjak
i	Cc	i
Onda	Rgp	onda
kAd	Cs	kad
((XXX))	X	((xxx))
.	Z	.

On	Pp3msn	on
će	Var3p	hteti
trAži	Vmr3s	tražiti
bajrAk	Npmsn	Bajrak
i	Cc	i
Onda	Rgp	onda
kAd	Cs	kad
ti	Pp2-sd	ti
će	Var3s	hteti
mu	Pp3msd	on
kAžeš	Vmr2s	kazati
de	Rgp	gde
je	Var3s	biti
barjAk	Ncmsn	barjak
al	Cc	ali
Onda	Rgp	onda
ti	Pp2-sn	ti
plAti	Vmm2s	platiti
i	Cc	i
takO	Rgp	tako
mlAda	Rgp	mlada
se	Pxsa	sebe
Isto	Rgp	isto
kupovAla	Vmp-sf	kupovati
.	Z	.

Ima	Vmr3s	imati
nEgde	Rgp	negde
prAktikuju	Vmr3p	praktikovati
da	Cs	da
kao	Cs	kao
izvedU	Vmr3p	izvesti
lAžnu	Agpfsay	lažan
mlAdu	Ncfsa	mlada
.	Z	.

onA	Pp3fsn	on
obUčena	Appfsny	obući
onAko	Rgp	onako
al	Cc	ali
no	I	no
mUško	Agpnsny	muški
nEko	Pi-nsn	neki
il	Cc	ili
nekA	Qo	neka
dru/	Vcp-sm	druti
nekO	Pi-msn	neko
drUgi	Mlompn	drugi
.	Z	.

i	Cc	i
Onda	Rgp	onda
pOsle	Rgp	posle
je	Var3s	biti
dAju	Vmr3p	dati
u	Sa	u
prAvo	Ncnsa	pravo
.	Z	.

ne	Qz	ne
znAm	Vmr1s	znati
štA	Pi3n-a	što
jOš	Rgp	još
.	Z	.

