sEdnite	Agpmpay-t	sedn
baš	Rgp	baš
žEge	Ncfpn	žega
tOlko	Rgp	toliko
.	Z	.

pa	Cc	pa
Ubave	Agpfpny	ubav
mOja	Ps1fsn	moj
mAti	Ncfsn	mati
prodavAla	Vmp-sf	prodavati
sadIle	Vmp-pf	saditi
smo	Var1p	biti
i	Cc	i
babUre	Ncfpa	babura
i	Cc	i
.	Z	.

turšijAre	Ncfpn	turšijara
za	Sa	za
turšIu	Ncmsan	turšiu
po	Sl	po
•	X	•
onAko	Rgp	onako
tAnke	Ncfpn	tanka
onEj	Pi-nsn	onEj
po	Sl	po
.	Z	.

pa	Cc	pa
sušAre	Ncfpn	sušara
.	Z	.

da	Cs	da
se	Pxsa	sebe
sUši	Vmr3s	sušiti
u	Sa	u
jA	Pp1-sn	ja
kəd	Pi-fsa	kəd
səm	Var1s	biti
dOšla	Vmp-sf	doći
.	Z	.

mOa	Ps1fsn	moja
svekRva	Ncfsn	svekrva
nanIžeše	Npfsg	nanIžeša
.	Z	.

po	Sa	po
dvAes	Mlc	dvadeset
vencA	Ncmsg	venac
i	Cc	i
Ovde	Rgp	ovde
i	Cc	i
tUj	Rgp	tu
.	Z	.

naa	Sa	na
••	X	••
na	Sa	na
Ambar	Npmsay	Ambar
da	Cs	da
se	Px--sa	sebe
sUše	Vmr3p	sušiti
.	Z	.

kao	Cs	kao
štO	Cs	što
gu	Pp3msa	on
glEdamo	Vmr1p	gledati
na	Sa	na
televIziju	Ncfsa	televizija
sƏg	Rgp	sad
po	Sa	po
leskOvac	Npmsn	Leskovac
tAm	Rgp	tamo
po	Sl	po
.	Z	.

takOj	Rgp	tako
se	Px--sa	sebe
odAvna	Rgp	odavno
i	Cc	i
kod	Sg	kod
nAs	Pp1-pg	mi
rabotIlo	Vmp-sn	rabotiti
.	Z	.

a	Cc	a
sƏg	Rgp	sad
jA	Pp1-sn	ja
jedAn	Mlcmsn	jedan
venčƏk	Agpmsny	venčək
ako	Cs	ako
nanIžem	Vmr1s	nanizati
da	Cs	da
Imam	Vmr1s	imati
.	Z	.

Eto	I	eto
da	Cs	da
.	Z	.

unUka	Ncmsay	unuk
mi	Pp1-sd	ja
vOli	Vmr3s	voliti
••	X	••
pUnjenu	Appfsay	puniti
jAko	Rgp	jako
.	Z	.

sUu	Qr	sUu
.	Z	.

pa	Cc	pa
na	Sl	na
mAju	Ncmsl	maj
mAju	Ncmsl	maj
što	Pi3n	što
tI	Vaa3s	ti
kAko	Cs	kako
bAbane	Npmsv	Baban
ošUšiš	Vmr2s	ošušiti
paprIku	Ncfsa	paprika
.	Z	.

pa	Cc	pa
što	Pi3n	što
nE	Qz	ne
jA	Pp1-sn	ja
nem	Vmr1s	nemati
nE	Qz	ne
mog	Vmr1s	moći
da	Cs	da
ti	Pp2-sd	ti
tOj	Pd-nsn	taj
kupUem	Ncmsn	kupuem
da	Cs	da
ti	Pp2-sd	ti
sUšim	Vmr1s	sušiti
.	Z	.

bAba	Ncfsn	baba
osUši	Vmr3s	osušiti
vEli	Vmr3s	velim
naberE	Ncfpa	naber
u	Sa	u
bAštu	Ncfsa	bašta
tƏnke	Npfsg	tƏnka
pa	Cc	pa
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

rAnie	Npmsn	rAnie
si	Px--sd	sebe
.	Z	.

pa	Cc	pa
mAti	Ncfsn	mati
Ide	Vmr3s	ići
na	Sa	na
pIjac	Ncnsa	pijac
pa	Cc	pa
gde	Rgp	gde
vIdi	Vmr3s	videti
Ubave	Agpmpay	ubav
ovIja	Pd-mpa	ovaj
debEliličanje	Npnsn	debEliličanje
.	Z	.

štIpinci	Npmpn	štIpinac
••	X	••
po	Sl	po
timOk	Npmsn	timok
.	Z	.

kOi	Pi3m-n	koji
su	Var3p	biti
onO	Pd-nsn	onaj
krUpne	Agpfpny	krupan
paprIke	Ncfpn	paprika
onA	Pp3fsn	on
kUpi	Vmr3s	kupiti
sEme	Npmsn	Seme
pa	Cc	pa
.	Z	.

se	Px--sd	sebe
osUšimo	Vmr1p	osušiti
pa	Cc	pa
nasAdi	Vmr3s	nasaditi
.	Z	.

nasEje	Qr	nasEje
.	Z	.

Ono	Pp3nsn	on
i	Cc	i
sƏg	Rgp	sad
ljUdi	Ncmpg	čovek
•	X	•
kOi	Pi3m-n	koji
Idu	Vmr3p	ići
na	Sa	na
pIjac	Npmsan	pIjac
Oni	Pp3mpn	oni
kupUju	Vmr3p	kupovati
takOj	Rgp	tako
od	Sg	od
ljUdi	Ncmpg	čovek
a	Cc	a
mI	Pp1-pn	ja
si	Px--sd	sebe
.	Z	.

nas	Pp1-pa	mi
nAši	Ps1mpn	naš
kUpimo	Vmr1p	kupiti
.	Z	.

u	Sa	u
prodAvnicu	Ncfsa	prodavnica
.	Z	.

sƏg	Rgp	sad
Ima	Vmr3s	imati
••	X	••
u	Sa	u
kEsice	Ncfpa	kesica
.	Z	.

da	Cs	da
se	Px--sa	sebe
kUpi	Vmr3s	kupiti
.	Z	.

pa	Cc	pa
prOleti	Vmr3s	proleteti
.	Z	.

de	Rgp	gde
e	I	e
((XXX))	X	((xxx))
rasAdnik	Ncmsn	rasadnik
.	Z	.

nasEjemo	Rgp	nasejemo
tUrimo	Vmr1p	turiti
gjUbre	Ncfpa	gjubra
pa	Cc	pa
zEmlju	Ncfsa	zemlja
iz	Sg	iz
Alu	Ncfsa	ala
dotEramo	Vmr1p	doterati
nasEemo	Vmr1p	naivati
.	Z	.

pa	Cc	pa
kƏd	Ncfsn	kəd
porastE	Vmr3s	porasti
ovAko	Rgp	ovako
ovOlka	Pi-fsn	ovoliki
mI	Pp1-pn	ja
ju	Pp3fsa	on
nOsimo	Vmr1p	nositi
u	Sa	u
bAštu	Ncfsa	bašta
pa	Cc	pa
u	Sl	u
rasAdimo	Npfsl	rasAdimo
.	Z	.

e	I	e
takOj	Rgp	tako
tOlko	Rgp	toliko
svE	Pi-nsn	sav
•	X	•
u	Sa	u
rAzmak	Ncmsan	razmak
.	Z	.

u	Sa	u
bAštu	Ncfsa	bašta
kakvA	Pi3n-n	kakav
e	Vcr3s	biti
.	Z	.

a	Cc	a
u	Sa	u
rasAdnik	Ncmsan	rasadnik
izə	Ncfpg	iza
••	X	••
iz	Sg	iz
Alu	Ncfsa	ala
gu	Pp3msa	on
dotEramo	Vmr1p	doterati
.	Z	.

sItno	Rgp	sitno
zgrebEmo	Mdc	zgrebemo
.	Z	.

te	Cc	te
da	Cs	da
je	Var3s	biti
vu	Ncfsa	vu
••	X	••
da	Cs	da
mož	Vmr3s	moći
da	Cs	da
nIkne	Vmr3s	niknuti
lakO	Rgp	lako
odozdOle	Mdc	odozdole
gjUbre	Rgp	gjubre
stAvimo	Vmr1p	staviti
•	X	•
od	Sg	od
krAve	Ncfsg	krava
.	Z	.

napAkuemo	Npmsn	napAkuemo
pa	Cc	pa
tak	Rgp	tako
tu	Pd-fsa	taj
zemljU	Ncfsa	zemlja
pa	Cc	pa
.	Z	.

nasEemo	Npmsn	nasEemo
pa	Cc	pa
pa	Cc	pa
sa	Si	sa
zemljU	Ncfsa	zemlja
pokrIemo	Var1p	pokrIemo
.	Z	.

i	Cc	i
.	Z	.

Ono	Pd-nsn	onaj
bUde	Vcr3s	biti
dobrO	Rgp	dobro
.	Z	.

zalIva	Ncmsg	zaliv
se	Px--sa	sebe
pa	Cc	pa
•	X	•
nE	Qz	ne
mož	Vmr3s	moći
da	Cs	da
se	Px--sa	sebe
ošUši	Ncnsn	ošuši
pa	Cc	pa
s	Si	sa
nAjlon	Ncmsan	najlon
pokrIemo	Var1p	pokrIemo
.	Z	.

pa	Cc	pa
.	Z	.

otkrIvamo	Vmr1p	otkrivati
pokrIvamo	Vmr1p	pokrivati
ako	Cs	ako
nEki	Pipn	neki
ne	Qz	ne
otkrIe	Var3s	otkrIe
Ona	Pp3fsn	on
progorI	Vmr3s	progoriti
sEme	Npmsn	Seme
.	Z	.

pa	Cc	pa
nEma	Vmr3s	imati
.	Z	.

el	Qq	jel
odozdOle	Vcr3s	odozdolbiti
onOj	Pd-nsn	onaj
žEško	Npmsn	Žeško
gjUbre	Vmr3s	gjubrati
ozgOr	Rgp	odozgo
sUnce	Ncnsn	sunce
bUde	Var3s	biti
prOleti	Agpmsny	prolet
.	Z	.

i	Cc	i
takO	Rgp	tako
e	Var3s	biti
bilO	Vcp-sn	biti
.	Z	.

pa	Cc	pa
Isto	Rgp	isto
nOsimo	Vmr1p	nositi
rasAd	Ncmsan	rasad
čupEmo	Vmr1p	čupeti
•	X	•
naprAjmo	Vcr3p	naprajbiti
rEdovi	Ncmpn	red
.	Z	.

paa	Cc	pa
.	Z	.

zaljEvamo	Vmr1p	zaljevati
pRvo	Rgp	prvo
pa	Cc	pa
pOsle	Rgp	posle
kƏd	Vcp-sn	kti
se	Px--sa	sebe
uvAti	Vmr3s	uhvatiti
paprIčkata	Ncfsnnt	paprika
mI	Pp1-pn	ja
.	Z	.

navadi	Ncfsd	navada
sAmo	Rgp	samo
sƏg	Rgp	sad
s	Si	sa
motOri	Ncmpn	motor
se	Pxsa	sebe
navodnjAva	Vmr3s	navodnjavati
.	Z	.

rEka	Ncfsn	reka
se	Px--sa	sebe
ukopAla	Vmp-sf	ukopati
pa	Cc	pa
.	Z	.

ne	Qz	ne
mOže	Vmr3s	moći
.	Z	.

nEma	Vmr3s	imati
kao	Cs	kao
rAnije	Rgc	rano
.	Z	.

na	Sa	na
i	Cc	i
na	Sa	na
Izvori	Ncmpn	izvor
nego	Cc	nego
.	Z	.

pAliš	Vmr2s	paliti
mOtor	Ncmsan	motor
navagjUeš	Qr	navagjUeš
.	Z	.

Eto	I	eto
jučEr	Rgp	juče
səm	Vcr1s	biti
u	Sl	u
pEt	Mlc	pet
otIšla	Vmp-sf	otići
pa	Cc	pa
sEdam	Mlc	sedam
dOšla	Vmp-sf	doći
.	Z	.

te	Cc	te
mi	Pp1-sd	ja
upalI	Vmr3s	upaliti
rAdiša	Agpmsayn	radiša
mOtor	Ncmsan	motor
pa	Cc	pa
jA	Pp1-sn	ja
navagjUem	Qo	navagjUem
onI	Pp3mpn	oni
još	Rgp	još
u	Sa	u
vinOgrad	Ncmsan	vinograd
pRsku	Npmsl	pRsko
.	Z	.

i	Cc	i
takvO	Pd-nsn	takav
ti	Pp2-sd	ti
je	Var3s	biti
sInče	Npnsn	sInče
bilO	Vcp-sn	biti
mUka	Ncfsn	muka
.	Z	.

ne	Qz	ne
.	Z	.

kƏd	Npmsn	kƏd
se	Px--sa	sebe
osUši	Vmr3s	osušiti
tƏg	Rgp	tako
.	Z	.

a	Cc	a
se	Px--sa	sebe
zasUši	Vmr3s	zasušiti
•	X	•
osUši	Vmr3s	osušiti
ti	Pp2-sn	ti
.	Z	.

pa	Cc	pa
dvA	Mlc	dva
dAna	Ncmsg	dan
prOju	Pxsa	prOju
na	Sa	na
žEgu	Ncfsa	žega
vu	Sa	u
sƏd	Rgp	sad
.	Z	.

po	Sa	po
dvA	Mlc	dva
dAna	Ncmsg	dan
trEći	Mlomsn	treći
dAn	Ncmsn	dan
mOraš	Vmr2s	morati
.	Z	.

il	Cc	ili
ujUtru	Rgp	ujutru
il	Cc	ili
uvEče	Rgp	uveče
jer	Cs	jer
nEma	Vmr3s	imati
•	X	•
vodA	Ncfsn	voda
.	Z	.

popOdne	Ncnsn	popodne
tEško	Rgp	teško
Ima	Vmr3s	imati
vodA	Ncfsn	voda
a	Cc	a
prepOdne	Ncnsn	prepodne
rAno	Rgp	rano
kƏd	Mdc	kəd
.	Z	.

Ono	Pd-nsn	onaj
Ima	Vmr3s	imati
Ide	Vmr3s	ići
odozgOre	Agpmsny	odozgore
.	Z	.

niz	Sa	niz
rEku	Ncfsa	reka
pa	Cc	pa
.	Z	.

i	Cc	i
takvO	Pd-nsn	takav
.	Z	.

paa	Cc	pa
•	X	•
dva	Mlc	dva
tripUt	Rgp	triput
.	Z	.

pOsle	Rgp	posle
ne	Qz	ne
smEš	Vmr2s	smeti
sAmo	Rgp	samo
plEviš	Vmr2s	pleviti
•	X	•
el	Qq	jel
.	Z	.

kakO	Cs	kako
s	Si	sa
Onu	Pd-fsa	onaj
kOpicu	Ncfsa	kopica
Ono	Pd-nsn	onaj
.	Z	.

nabIvaš	Xf	nabIvaš
paprIčke	Xf	paprIčke
.	Z	.

jA	Pp1-sn	ja
si	Px--sd	sebe
mOju	Ncfpn	moja
•	X	•
stAvljam	Vmr1s	stavljati
u	Sl	u
turšIju	Npmsl	turšIj
tOj	Pd-nsn	taj
ne	Qz	ne
kupUjem	Vmr1s	kupovati
za	Sa	za
turšIu	Ncmsay	turšia
.	Z	.

mOž	Vmr3s	moći
da	Cs	da
mi	Pp1-sd	ja
se	Px--sa	sebe
zbƏška	Ncfsn	zbəška
a	Cc	a
za	Sa	za
Ajvar	Ncmsan	ajvar
Ide	Npfsg	Ida
.	Z	.

Idu	Vmr3p	ići
mojEe	Npfsg	mojEa
i	Cc	i
mAja	Ncmsg	maj
.	Z	.

u	Sa	u
unUka	Ncmsay	unuk
mi	Pp1-sd	ja
•	X	•
u	Sl	u
nIš	Ncfsl	nia
.	Z	.

pa	Cc	pa
kUpe	Ncfpn	kupa
po	Sa	po
sedamdesEt	Mlc	sedamdeset
kIla	Ncfsn	kila
za	Sa	za
ajvAri	Ncmpn	ajvar
.	Z	.

i	Cc	i
takOj	Rgp	tako
prAjmo	Vmr1p	prajti
.	Z	.

Ajvar	Ncmsn	ajvar
svE	Pi-nsn	sav
od	Sg	od
kUpeno	Appnsny	kupiti
.	Z	.

em	Qq	em
ovAj	Pdsn	ovaj
ne	Qz	ne
mesnAta	Agpfsny	mesnat
nAša	Npfsn	nAša
ne	Qz	ne
.	Z	.

kvO	Pr-nsn	kvo
ću	Var1s	hteti
daa	Cs	da
••	X	••
tEško	Rgp	teško
se	Px--sa	sebe
lUpi	Vmr3s	lupiti
tEško	Rgp	teško
.	Z	.

onOj	Pd-nsa	onaj
i	Cc	i
na	Sa	na
pečEno	Appnsny	peći
i	Cc	i
na	Sa	na
((XXX))	X	((xxx))
napraI	Npmsn	napraI
.	Z	.

po	Sl	po
((XXX))	X	((xxx))
kIla	Ncfsn	kila
na	Sa	na
petnAes	Mlc	petnaest
pečEmo	Vmr1p	peći
.	Z	.

səs	Si	sa
ovOj	Pd-nsa	ovaj
i	Cc	i
od	Sg	od
kOre	Ncfsg	kora
na	Sl	na
((XXX))	X	((xxx))
.	Z	.

mI	Pp1-sd	ja
ga	Pp3msa	on
zovEmo	Vmr1p	zvati
pAlica	Ncfsn	palica
.	Z	.

lOžim	Vmr1s	ložiti
•	X	•
Ono	Pd-nsn	onaj
bRže	Rgc	brzo
sAmo	Rgp	samo
okrEqam	Mdc	okreqam
.	Z	.

s	Si	sa
nEgde	Rgp	negde
s	Si	sa
onOj	Pdsn	onaj
što	Cs	što
se	Px--sa	sebe
okrEqu	Vmr3p	okreti
.	Z	.

okrEqa	Agpmsny	okreqa
roštIlj	Ncmsn	roštilj
nEgde	Rgp	negde
s	Si	sa
rUke	Ncfpn	ruka
kOe	Pi-nsa	koji
.	Z	.

ali	Cc	ali
.	Z	.

napečEm	Vmr1s	napeći
.	Z	.

ovI	Pd-mpn	ovaj
bUdu	Var3p	biti
po	Sa	po
rAbotu	Ncfsa	rabota
negdE	Rgp	negde
u	Sl	u
.	Z	.

jEseni	Ncfpn	jesen
u	Sl	u
kOrinje	Ncfsl	korinja
jA	Pp1-sn	ja
.	Z	.

((XXX))	X	((xxx))
.	Z	.

pOsle	Rgp	posle
((XXX))	X	((xxx))
čIstimo	Vmr1p	čistiti
.	Z	.

kUvamo	Vmr1p	kuvati
ajvAr	Ncmsn	ajvar
.	Z	.

i	Cc	i
takOj	Rgp	tako
.	Z	.

ne	Qz	ne
kupUemo	Pi3n-n	kupUemo
tOj	Pd-nsn	taj
.	Z	.

krAstavci	Npmpn	krAstavac
Isto	Rgp	isto
stAvljamo	Vmr1p	stavljati
.	Z	.

kUpimo	Vmr1p	kupiti
i	Cc	i
sAmo	Rgp	samo
.	Z	.

Isto	Rgp	isto
si	Px--sd	sebe
u	Sa	u
nIš	Pp2-sn	ništa
mAja	Ncmsg	maj
kUpi	Vmr3s	kupiti
kƏd	Npmsd	kƏ
Ide	Vmr3s	ići
.	Z	.

tAm	Rgp	tamo
bUde	Var3s	biti
i	Cc	i
pO	Sl	po
jevtini	Ncfsl	jevtina
.	Z	.

pO	Sl	po
jedno	Mlcnsn	jedan
džAkče	Ncnsn	džakče
po	Sl	po
dvE	Ncmsl	dv
kƏd	Cs	kƏd
kAko	Cs	kako
Oće	Var3s	hteti
da	Cs	da
stAi	Qr	stAi
.	Z	.

i	Cc	i
nastAvljamo	Vmr1p	nastavljati
i	Cc	i
u	Sa	u
tEglicu	Ncfsa	teglica
i	Cc	i
.	Z	.

sOl	Ncfsa	sol
sIrće	Ncnsn	sirće
sEqer	Pi3n-n	sEqer
onOj	Pd-nsn	onaj
pa	Cc	pa
Ima	Vmr3s	imati
prEpis	Ncmsan	prepis
.	Z	.

i	Cc	i
zatEgnemo	Vmr1p	zategnuti
čvRsto	Rgp	čvrsto
i	Cc	i
•	X	•
rEdimo	Vmr1p	rediti
u	Sa	u
kazAn	Ncmsan	kazan
.	Z	.

i	Cc	i
podlOžimo	Vmr1p	podložiti
i	Cc	i
ras	Ncmsn	ras
••	X	••
nasIpemo	Npmsn	nasIpemo
vOdu	Ncfsa	voda
do	Sg	do
.	Z	.

do	Sg	do
zat	Ncfsa	zat
••	X	••
poklOpcići	Vmp-pm	poklopciti
.	Z	.

i	Cc	i
••	X	••
po	Sl	po
kOlko	Pq-nsn	koliki
trEba	Vmr3s	trebati
onO	Pd-nsn	onaj
pisUe	Vmr3s	pisuuti
po	Sa	po
sAt	Ncmsan	sat
al	Cc	ali
po	Sa	po
pOla	Rgp	pola
sAt	Ncmsn	sat
na	Sa	na
kOe	Npmpa	kO
kakO	Cs	kako
.	Z	.

Isto	Rgp	isto
takO	Rgp	tako
i	Cc	i
kompOt	Ncmsn	kompot
prAjmo	Npmsn	prAjmo
.	Z	.

od	Sg	od
svAku	Pisa	svaki
vOćku	Ncfsa	voćka
prAjmo	Agpmsayn	prajmo
kompOt	Ncmsan	kompot
.	Z	.

svE	Pi-nsn	sav
prokUvamo	Vmr1p	prokuvati
i	Cc	i
ne	Qz	ne
stAvljamo	Vmr1p	stavljati
nIšta	Pi3n-a	ništa
da	Cs	da
•	X	•
zbog	Sg	zbog
dEcu	Ncnpa	dete
.	Z	.

nIkakvi	Pi-mpn	nikakav
ovIja	Pd-msn	ovaj
••	X	••
prAškovi	Ncmpn	prašak
mIslim	Vmr1s	misliti
.	Z	.

sAmo	Rgp	samo
••	X	••
u	Sa	u
kompOti	Agpmsayn	kompot
šEćer	Ncmsan	šećer
.	Z	.

i	Cc	i
vOdu	Ncfsa	voda
u	Sa	u
••	X	••
ajvAr	Ncmsn	ajvar
.	Z	.

u	Sl	u
ovOj	Pdsl	ovaj
.	Z	.

u	Sl	u
krAstavčići	Npfsl	krAstavčići
Isto	Rgp	isto
kiselInu	Ncfsa	kiselina
u	Sa	u
paprIku	Ncfsa	paprika
Isto	Rgp	isto
takOj	Rgp	tako
stAvljamo	Vmr1p	stavljati
i	Cc	i
u	Sa	u
•	X	•
tEgle	Ncfpa	tegla
.	Z	.

nacEpkamo	Vmr1p	nacepkati
••	X	••
i	Cc	i
u	Sa	u
tEgle	Ncfpa	tegla
stAvljamo	Vmr1p	stavljati
i	Cc	i
šEćer	Ncmsan	šećer
vOdu	Ncmsd	vod
sIrće	Ncnsa	sirće
.	Z	.

sOli	Vmm2s	soliti
••	X	••
prokUvamo	Vmr1p	prokuvati
takOj	Rgp	tako
•	X	•
u	Sa	u
tEgle	Ncfpa	tegla
.	Z	.

i	Cc	i
izvAdimo	Vmr1p	izvaditi
uvIemo	Ncfpa	uviema
posle	Sg	posle
tEgle	Ncfsg	tegla
.	Z	.

i	Cc	i
•••	X	•••
a	Cc	a
Eno	I	eno
i	Cc	i
sƏg	Rgp	sad
imA	Vmr3s	imati
po	Sl	po
stAru	Agpfsay	star
kUqu	Ncfsa	kuća
.	Z	.

po	Sl	po
.	Z	.

vetrInu	Npmsn	vetrInu
jednU	Mlcfsa	jedan
natUrane	Ncfsa	naturana
.	Z	.

tEglete	Ncfpa-t	tegla
•	X	•
nismO	Pi3m-n	nismO
i	Cc	i
ni	Cc	ni
pojEli	Vmp-pm	pojesti
svE	Pi-nsn	sav
.	Z	.

One	Agpfpny	oan
jEseni	Ncfpn	jesen
sAmo	Rgp	samo
da	Cs	da
se	Pxsa	sebe
nastAvlja	Vmr3s	nastavljati
a	Cc	a
ne	Qz	ne
pojedE	Vmr3s	pojesti
se	Px--sa	sebe
.	Z	.

e	I	e
kEčap	Ncmsn	kečap
•	X	•
tOj	Pd-nsn	taj
decA	Ncnpn	dete
.	Z	.

jedU	Vmr3p	jesti
i	Cc	i
tOj	Pd-nsn	taj
.	Z	.

prOšlu	Agpfsay	prošli
gOdinu	Ncfsa	godina
smo	Var1p	biti
tripUt	Rgp	triput
Imamo	Vmr1p	imati
kazAnče	Ncfpa	kazanča
od	Sg	od
trIes	Mlc	trideset
kIla	Ncfsn	kila
•	X	•
trIput	Rgp	triput
smo	Var1p	biti
kuvAli	Vmp-pm	kuvati
.	Z	.

Imaše	Vme3s	imati
paradAjs	Vmp-sn	paradati
se	Px--sa	sebe
rodIlo	Vmp-sn	roditi
.	Z	.

i	Cc	i
u	Sa	u
kazAnčeto	Ncnsa-t	kazanče
.	Z	.

kUvamo	Vmr1p	kuvati
.	Z	.

onE	Ncfpn	one
tOj	Pd-nsn	taj
vOle	Vmr3p	voleti
•	X	•
i	Cc	i
uz	Sa	uz
jAja	Ncnpa	jaje
i	Cc	i
uz	Sa	uz
.	Z	.

mEso	Ncnsa	meso
i	Cc	i
uz	Agpmsnn	uz
svE	Pi-nsn	sav
.	Z	.

mIslim	Vmr1s	misliti
uz	Sa	uz
gibAnicu	Ncfsa	gibanica
uz	Sa	uz
.	Z	.

mEkice	Ncfpn	mekica
•	X	•
kakvO	Pi-nsn	kakav
da	Cs	da
e	I	e
tu	Rgp	tu
One	Pdpa	onaj
ga	Pp3msa	on
••	X	••
kvAšnu	Sa	kvAšnu
one	Pdpa	onaj
.	Z	.

kEčap	Ncmsn	kečap
.	Z	.

pOsle	Rgp	posle
mu	Pp3msd	on
se	Px--sa	sebe
stAvi	Vmr3s	staviti
kƏd	Pd-nsn	kƏd
se	Pxsa	sebe
ukUva	Npfsn	ukUva
gustIn	Ncmsn	gustin
.	Z	.

Isto	Rgp	isto
i	Cc	i
u	Sl	u
njEg	Pp3msa	on
se	Pxsa	sebe
stAvlja	Vmr3s	stavljati
šEćer	Ncmsn	šećer
stAvlja	Vmr3s	stavljati
po	Sa	po
prEpis	Ncmsan	prepis
svE	Pi-nsn	sav
.	Z	.

mAja	Ncmsg	maj
si	Px--sd	sebe
tOj	Pd-nsn	taj
natUra	Ncfpn	natura
•	X	•
a	Cc	a
i	Cc	i
lozAna	Npfsn	Lozana
sprEma	Vmr3s	spremati
snA	Ncfsn	snaja
mi	Pp1-sd	ja
.	Z	.

ali	Cc	ali
mAjaa	Ncfpn	majaa
vIše	Rgc	mnogo
Ona	Pp3fsn	on
vOli	Vmr3s	voliti
tOj	Pd-nsn	taj
da	Cs	da
e	I	e
.	Z	.

kəd	Cc	kəd
Ona	Pp3fsn	on
dOjde	Vmr3s	doći
tƏd	Rgp	tad
pOsle	Rgp	posle
ga	Pp3msa	on
mi	Pp1-pn	ja
dokuvUemo	Ncfpn	dokuvuema
ali	Cc	ali
Ona	Pp3fsn	on
da	Cs	da
si	Px--sd	sebe
ga	Pp3msa	on
••	X	••
razmEri	Ncmpn	razmer
.	Z	.

kakvO	Pi-nsn	kakav
trEba	Vmr3s	trebati
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

kakO	Cs	kako
.	Z	.

odAvna	Rgp	odavno
smo	Var1p	biti
.	Z	.

turšIu	Ncmsay	turšia
•	X	•
dObro	Rgp	dobro
jA	Pp1-sn	ja
i	Cc	i
sƏg	Rgp	sad
stAvim	Vmr1s	staviti
po	Sa	po
ednO	Ncnsa	jedan
bUrence	Mdm	burence
za	Sa	za
nju	Pp3fsa	on
.	Z	.

ali	Cc	ali
mAlečki	Npmsn	mAlečki
•	X	•
nAšeto	Ncnsa-t	naše
od	Sg	od
petnAes	Mlc	petnaest
kIla	Ncfsn	kila
njOjnoto	Rgp	njojnoto
nE	Qz	ne
znam	Vmr1s	znati
od	Sg	od
dEset	Mlc	deset
od	Sg	od
kOlko	Pq-nsn	koliki
li	Qq	li
je	Var3s	biti
burEnce	Vcp-sn	burenti
.	Z	.

stAvim	Vmr1s	staviti
si	Px--sd	sebe
tu	Rgp	tu
.	Z	.

paprIku	Ncfsa	paprika
•	X	•
nAšu	Ps1fsa	naš
pa	Cc	pa
••	X	••
aksEnciu	Vmp-sm	aksenciti
.	Z	.

kOlko	Pq-nsn	koliki
pIše	Vmr3s	pisati
Isto	Rgp	isto
paa	Cc	pa
.	Z	.

sOl	Ncfsn	sol
pa	Cc	pa
.	Z	.

takOj	Rgp	tako
.	Z	.

odAvna	Rgp	odavno
smo	Var1p	biti
.	Z	.

pa	Cc	pa
Isto	Rgp	isto
smo	Var1p	biti
si	Px--sd	sebe
sa	Sa	sa
sIrće	Ncnsa	sirće
stavljAli	Vmp-pm	stavljati
ali	Cc	ali
vInsko	Agpnsny	vinski
bilO	Vcp-sn	biti
sIrće	Ncnsn	sirće
što	Cs	što
ukisEli	Vmr3s	ukiseliti
se	Px--sa	sebe
vinO	Ncnsn	vino
pa	Cc	pa
.	Z	.

a	Cc	a
mOa	Ps1fsn	moja
svekRva	Ncfsn	svekrva
znAm	Vmr1s	znati
kƏd	Pd-nsn	kƏd
səm	Var1s	biti
dOšla	Vmp-sf	doći
nebEre	Ncfpa	nebera
onE	Pp3fpn	oni
trnjInke	Agpfsgy	trnjinki
cRno	Agpnsny	crn
.	Z	.

što	Pq-nsn	što
u	Sa	u
pOlje	Ncnsa	polje
Ima	Vmr3s	imati
.	Z	.

pa	Cc	pa
kƏd	Px--sa	kƏd
ga	Pp3msa	on
prokUva	Vmr3s	prokuvati
.	Z	.

pa	Cc	pa
nasIpe	Ncmpa	nasip
.	Z	.

lEle	I	lele
šta	Pi3n	što
je	Var3s	biti
slAtka	Agpfsny	sladak
bilA	Vcp-sf	biti
tAj	Pdsn	taj
paprIka	Ncfsn	paprika
.	Z	.

al	Cc	ali
tOj	Pd-nsn	taj
sAmo	Rgp	samo
tƏg	Rgp	tako
jEdnu	Mlcfsa	jedan
gOdin	Ncfsa	godina
smo	Var1p	biti
stavljAli	Vmp-pm	stavljati
i	Cc	i
vIše	Rgc	mnogo
nesmO	Mlonsn	nesmi
pOsle	Sg	posle
.	Z	.

səm	Var1s	biti
si	Px--sd	sebe
jA	Pp1-sn	ja
počEla	Vmp-sf	početi
.	Z	.

kakO	Cs	kako
moI	Vmp-sm	moti
.	Z	.

sə	Px--sa	sebe
sIrće	Ncnsn	sirće
••	X	••
i	Cc	i
.	Z	.

takOj	Rgp	tako
.	Z	.

takOj	Rgp	tako
bilO	Vmp-sn	biti
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
••	X	••
duvAn	Ncmsn	duvan
