sEdnite	Agpmpay-t	sedn
u	Sa	u
tOrbu	Ncfsa	torba
paa	Cc	pa
cEl	Vmp-sm	ceti
dƏn	Ncmsn	dan
se	Px--sa	sebe
Išlo	Vmp-sn	ići
.	Z	.

devOjčiči	Ncfsd	devojčica
u	Sa	u
krOšnjice	Ncfpa	krošnjica
.	Z	.

ručAk	Ncmsn	ručak
nOse	Vmr3p	nositi
mUški	Rgp	muški
u	Sl	u
torbIčke	Npfsl	torbIčke
.	Z	.

takOj	Rgp	tako
bIlo	Vmp-sn	biti
nEzgodno	Agpnsny	nezgodan
.	Z	.

nIe	Z	nIe
dObro	Rgp	dobro
••	X	••
a	Cc	a
sƏg	Rgp	sad
se	Px--sa	sebe
Ide	Vmr3s	ići
•	X	•
na	Sa	na
mAlko	Rgp	malko
.	Z	.

na	Sa	na
čEtiri	Mlc	četiri
sAta	Ncmsg	sat
u	Sa	u
škOlu	Ncfsa	škola
a	Cc	a
tƏd	Rgp	tad
cEl	Agpmsny	cel
dƏn	Ncmsn	dan
i	Cc	i
prE	Sa	pre
pOdne	Ncnsa	podne
i	Cc	i
pOsle	Sg	posle
pOdne	Ncnsa	podne
.	Z	.

bIlo	Vmp-sn	biti
•••	X	•••
i	Cc	i
takO	Rgp	tako
.	Z	.

u	Sl	u
pa	Cc	pa
kakO	Cs	kako
•	X	•
decA	Ncnpn	dete
čUvamo	Vmr1p	čuvati
Ovce	Ncfpa	ovca
.	Z	.

svE	Pi-nsn	sav
rabOtimo	Vmr1p	rabotati
s	Si	sa
brAta	Ncmsay	brat
smo	Var1p	biti
svE	Qo	sve
rabotIli	Vmp-pm	rabotati
••	X	••
i	Cc	i
na	Sa	na
kopAnje	Ncnsa	kopanje
i	Cc	i
səs	Si	sa
Ovce	Npmpa	Ovac
i	Cc	i
u	Sa	u
bAštu	Ncfsa	bašta
i	Cc	i
.	Z	.

svUd	Rgp	svuda
••	X	••
svUd	Rgp	svuda
••	X	••
nEma	Vmr3s	imati
••	X	••
sedEnje	Ncnsn	sedenje
dOma	Rgp	doma
.	Z	.

i	Cc	i
takO	Rgp	tako
bIlo	Qo	bilo
•	X	•
nEdobro	Rgp	nedobro
•	X	•
a	Cc	a
sƏg	Rgp	sad
.	Z	.

sƏg	Rgp	sad
dobrO	Rgp	dobro
••	X	••
i	Cc	i
za	Sa	za
stAri	Agpmpn	star
i	Cc	i
za	Sa	za
mlAdi	Agpmpny	mlad
.	Z	.

Edino	Npmsn	Edino
ne	Qz	ne
dostIže	Vmr3s	dostići
sƏg	Rgp	sad
po	Sa	po
rAne	Agpmpay	ran
••	X	••
nEma	Vmr3s	imati
.	Z	.

a	Cc	a
tƏg	Rgp	tako
smo	Var1p	biti
Eto	I	eto
od	Sg	od
imAnje	Ncnsa	imanje
živEli	Vmp-pm	živeti
pa	Cc	pa
smo	Var1p	biti
si	Px--sd	sebe
živEli	Vmp-pm	živeti
.	Z	.

a	Cc	a
sƏg	Rgp	sad
nEma	Vmr3s	imati
••	X	••
mUka	Ncfsn	muka
bIlo	Vmp-sn	biti
•	X	•
mUka	Ncfsn	muka
.	Z	.

i	Cc	i
takO	Rgp	tako
sInko	Ncmsn	sinko
.	Z	.

o	I	o
po	Sl	po
nOj	Ncmsl	noj
dƏn	Ncmsn	dan
učItelj	Ncmsn	učitelj
bIl	Vmp-sm	biti
kvO	Pr-nsn	kvo
qe	Npmsay	qe
ni	Qo	ni
predAva	Qr	predAva
.	Z	.

matemAtiku	Ncfsa	matematika
sRpski	Agpmsny	srpski
.	Z	.

poznAvanje	Ncnsn	poznavanje
prIrode	Ncfsg	priroda
kvO	Cs	kako
li	Qq	li
je	Var3s	biti
imAlo	Vmp-sn	imati
.	Z	.

mlOgo	Rgp	mnogo
gOdine	Ncfpn	godina
prošlE	Agpfsgy	prošli
pa	Cc	pa
sam	Var1s	biti
i	Qo	i
zaborIla	Vmp-sf	zaboraviti
sInko	Ncmsn	sinko
.	Z	.

kakvO	Pi-nsn	kakav
tOj	Pd-nsn	taj
bilO	Vcp-sn	biti
.	Z	.

obrIšeš	Vmr2s	obrisati
sa	Si	sa
sungjEčak	Ncmsan	sungječak
napIšeš	Vmr2s	napisati
.	Z	.

takOj	Rgp	tako
bilO	Vmp-sn	biti
.	Z	.

ne	Qz	ne
•••	X	•••
nE	Qz	ne
zna	Vmr3s	znati
se	Px--sa	sebe
kakvO	Pi-nsn	kakav
e	I	e
bilO	Qo	bilo
nE	Qz	ne
znam	Vmr1s	znati
ni	Qo	ni
jA	Pp1-sn	ja
svE	Pi-nsn	sav
mlOgo	Rgp	mnogo
odAvna	Rgp	odavno
bilO	Vcp-sn	biti
.	Z	.

i	Cc	i
takO	Rgp	tako
ti	Pp2-sd	ti
je	Vcr3s	biti
.	Z	.

učItelj	Ncmsn	učitelj
bIl	Vmp-sm	biti
•	X	•
učItelj	Ncmsn	učitelj
ka	Cs	kad
i	Cc	i
učItelj	Ncmsn	učitelj
jedAn	Mlcmsn	jedan
učIl	Vmp-sm	učiti
pRvi	Mlomsn	prvi
i	Cc	i
drUgi	Mlompn	drugi
jEdan	Mlcmsn	jedan
trEqi	Npmsn	trEqi
i	Cc	i
četvRti	Ncfpn	četvrt
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

Oni	Pp3mpn	oni
bIli	Vmp-pm	biti
•	X	•
piroqAnci	Npmpn	piroqAnac
nEki	Pipn	neki
kakvI	Pi-mpn	kakav
li	Qq	li
su	Var3p	biti
nE	Qz	ne
znam	Vmr1s	znati
ni	Qo	ni
jA	Pp1-sn	ja
.	Z	.

učitEljite	Ncmpn-t	učitelj
.	Z	.

kOj	Pi3m-n	koji
ti	Pp2-sd	ti
ga	Pp3msa	on
znAe	Vmr3s	znati
tO	Pd-nsn	taj
odAvna	Rgp	odavno
bilO	Vmp-sn	biti
sIne	Ncmsv	sin
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
i	Pp3-pd	oni
zaborIla	Vmp-sf	zaboraviti
svE	Pi-nsn	sav
ali	Cc	ali
•	X	•
tO	Pd-nsn	taj
.	Z	.

pa	Cc	pa
u	Sl	u
valEvac	Npmsl	valEvac
i	Cc	i
u	Sl	u
s	Si	sa
u	Sa	u
škOlu	Ncfsa	škola
tUj	Rgp	tu
stanovAli	Vmp-pm	stanovati
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
smo	Var1p	biti
putuvAli	Vmp-pm	putuvati
•	X	•
stugAzovac	Npmsay	stugAzovac
drečInovac	Npmsay	drečInovac
valEvac	Npmsay	valEvac
lepEna	Npmsay	lepEn
•	X	•
svI	Pi-mpn	sav
.	Z	.

u	Sl	u
valEvsku	Npmsl	valEvsko
škOlu	Ncfsa	škola
•	X	•
smo	Var1p	biti
Išli	Vmp-pm	ići
.	Z	.

