desAnka	Npfsn	Desanka
.	Z	.

pRvi	Agpmpny	prvi
zUbi	Ncmpn	zub
.	Z	.

tOj	Pd-nsn	taj
gOrnji	Agpmsny	gornji
zUb	Ncmsn	zub
.	Z	.

nIkne	Vmr3s	niknuti
.	Z	.

e	I	e
pa	Cc	pa
.	Z	.

ali	Cc	ali
((?))	X	((?))
jEdan	Mlcmsn	jedan
se	Px--sa	sebe
jAvi	Vmr3s	javiti
.	Z	.

pOsle	Rgp	posle
drUgi	Mlompn	drugi
do	Sg	do
njEg	Pp3msa	on
.	Z	.

se	Px--sa	sebe
jAvljut	Vmp-sn	javljti
.	Z	.

pomAlko	Npmsn	pomAlko
.	Z	.

pOsle	Rgp	posle
.	Z	.

porEd	Sg	pored
.	Z	.

kakO	Cs	kako
.	Z	.

bo	X	bo
su	Var3p	biti
dIlbi	Ncfpn	dilb
.	Z	.

jA	Pp1-sn	ja
devOjče	Ncnsn	devojče
vo	Pd-nsn	ovaj
slUša	Vmr3s	slušati
i	Cc	i
onO	Pd-nsn	onaj
.	Z	.

jA	Pp1-sn	ja
ga	Pp3msa	on
Okam	Sa	Okam
devOjče	Ncnsn	devojče
gdE	Rgp	gde
mnOgo	Rgp	mnogo
.	Z	.

slUška	Qr	slUška
.	Z	.

tO	Pd-nsn	taj
slUša	Vmr3s	slušati
bre	I	bre
.	Z	.

ta	Cs	da
takvO	Pd-nsn	takav
Ete	I	eto
.	Z	.

mUka	Ncfsn	muka
je	Var3s	biti
bilO	Vcp-sn	biti
sIne	Ncmsv	sin
.	Z	.

odAvna	Rgp	odavno
.	Z	.

ako	Cs	ako
si	Px--sd	sebe
dalEko	Rgp	daleko
.	Z	.

nEma	Vmr3s	imati
lekAr	Ncmsn	lekar
nEma	Vmr3s	imati
.	Z	.

nIšta	Pi3n-a	ništa
.	Z	.

pa	Cc	pa
čuvAla	Vmp-sf	čuvati
sAm	Var1s	biti
pa	Cc	pa
.	Z	.

nesAm	Var1s	biti
jAko	Rgp	jako
tkAla	Vmp-sf	tkati
tkAnja	Ncnsg	tkanje
.	Z	.

kAko	Cs	kako
štO	Cs	što
.	Z	.

su	Var3p	biti
tkAle	Vmpf	tkati
mlAde	Agpfpny	mlad
.	Z	.

ćelimIje	Z	ćelimIje
jEdno	Mlcnsn	jedan
drUgoj	Mlofsl	drugi
.	Z	.

jA	Pp1-sn	ja
nesAm	Var1s	biti
tOj	Pd-nsn	taj
znAla	Vmp-sf	znati
.	Z	.

da	Cs	da
tkAjem	Ncmsn	tkajem
Ubavo	Agpnsny	ubav
.	Z	.

poprOste	Qr	poprOste
.	Z	.

penjAve	Qr	penjAve
.	Z	.

ak	Vmm2s	ak
tOj	Pd-nsn	taj
znAeš	Vmr2s	znati
.	Z	.

poštO	Cs	pošto
si	Px--sd	sebe
