desAnka	Npfsn	Desanka
žnjEmo	Vmr1p	žeti
sas	Si	sa
sRp	Ncmsan	srp
?	Z	?
.	Z	.

sas	Si	sa
sRp	Ncmsan	srp
znAeš	Vmr2s	znati
li	Qq	li
?	Z	?
.	Z	.

tI	Pp2-sn	ti
poznAeš	Vmr2s	pozivati
od	Sg	od
mEne	Ncfpn	mena
.	Z	.

te	Cc	te
znA	Vmr3s	znati
.	Z	.

pitUjem	Qr	pitUjem
kvO	Pr-nsn	kvo
je	Vcr3s	biti
sRp	Ncmsn	srp
kvO	Pd-nsn	kakav
li	Qq	li
je	Vcr3s	biti
.	Z	.

onO	Pd-nsn	onaj
znAe	Vmr3s	znati
.	Z	.

tekvO	Pd-nsn	takav
je	Var3s	biti
.	Z	.

pa	Cc	pa
kAd	Cs	kad
sabEru	Vmr3p	sabrati
Ooja	Vmp-sf	ooti
.	Z	.

rAdnici	Ncmpn	radnik
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
.	Z	.

si	Px--sd	sebe
žnjEmo	Vmr1p	žeti
sas	Sa	sa
sRpove	Ncmpa	srp
.	Z	.

pa	Cc	pa
imAš	Vmr2s	imati
Edna	Mlcfsn	jedan
ženA	Ncfsn	žena
.	Z	.

grAna	Vmr3s	granati
se	Pxsa	sebe
jo	Npmsn	Jo
Okao	Npmsn	Okao
.	Z	.

pa	Cc	pa
kAd	Cs	kad
izlEznem	Vmr1s	izlegnuti
.	Z	.

na	Sa	na
žEtvutu	Ncfsa-t	žetva
.	Z	.

kAd	Cs	kad
pOčnemo	Vmr1p	početi
da	Cs	da
pojEmo	Qr	pojEmo
.	Z	.

a	Cc	a
u	Sa	u
sAv	Agpmsann	sav
glAs	Ncmsan	glas
.	Z	.

pojEmo	Npmsn	pojEmo
.	Z	.

evE	I	evo
.	Z	.

da	Cs	da
se	Px--sa	sebe
.	Z	.

a	Cc	a
sAg	Rgp	sad
nEma	Vmr3s	imati
sAg	Rgp	sad
ugAslo	Rgp	ugaslo
.	Z	.

sAg	Rgp	sad
tI	Pp2-sn	ti
da	Cs	da
sabErem	Vmr1s	sabrati
žetvAre	Ncfpa	žetvara
kakO	Cs	kako
.	Z	.

štO	Cs	što
Oknem	Vmr1s	oknuti
pa	Cc	pa
kad	Cs	kad
pOčnem	Vmr1s	početi
da	Cs	da
pojU	Vmr3p	pojati
.	Z	.

tekvO	Pd-nsn	takav
je	Vcr3s	biti
sIne	Ncmsv	sin
.	Z	.

pa	Cc	pa
.	Z	.

p	X	p
.	Z	.

pa	Cc	pa
sEtim	Vmr1s	setiti
se	Px--sa	sebe
nEki	Pi-msn	neki
pUt	Ncmsn	put
.	Z	.

ali	Cc	ali
.	Z	.

sAg	Rgp	sad
zabovAreno	Agpnsny	zabovaren
.	Z	.

a	Cc	a
?	Z	?
.	Z	.

pa	Cc	pa
((?))	X	((?))
rAdiš	Vmr2s	raditi
kolkO	Pq-nsn	koliki
kolkO	Pq-nsn	koliki
mOš	Npmsn	Moš
kolkO	Pq-nsn	koliki
ne	Qz	ne
.	Z	.

pa	Cc	pa
kadA	Rgp	kada
.	Z	.

jedAn	Mlcmsn	jedan
pUt	Ncmsn	put
se	Px--sa	sebe
operisA	Vmp-sn	operiti
.	Z	.

u	Sa	u
pIrot	Npmsay	pirot
.	Z	.

od	Sg	od
slEpo	Agpnsay	slep
crEvo	Ncnsa	crevo
.	Z	.

pRvi	Mlomsn	prvi
pUt	Ncmsn	put
.	Z	.

((cough))	X	((cough))
.	Z	.

pOsle	Rgp	posle
ovdEka	Rgp	ovde
se	Px--sa	sebe
dvAput	Rgp	dvaput
operisuvAka	Agpnsny	operisuvaan
.	Z	.

tOj	Pd-nsn	taj
do	Sg	do
knjAževac	Npmsn	knjaževac
.	Z	.

pa	Cc	pa
me	Pp1-sa	ja
#pElju#	Vmp-sm	#peljuti
Oči	Ncnpn	oko
glOđu	Vmr3p	gloati
glOđu	Vmr3p	gloati
glOđu	Vmr3p	gloati
.	Z	.

vEć	Rgp	već
.	Z	.

i	Cc	i
očI	Ncnpn	oko
ti	Pp2-sd	ti
vEć	Rgp	već
.	Z	.

trAže	Vmr3p	tražiti
vEć	Rgp	već
da	Cs	da
se	Px--sa	sebe
promEnjem	Ncnsi	promenje
.	Z	.

kUća	Ncfsn	kuća
.	Z	.

ako	Cs	ako
ju	Pp3fsa	on
iskOpaju	Vmr3p	iskopati
((laugh))	X	((laugh))
.	Z	.

smEšne	Agpfpny	smešan
mi	Pp1-pn	ja
devOjče	Ncnsn	devojče
tIja	Pd-msn	taj
va	Cs	va
jA	Pp1-sn	ja
vOlim	Vmr1s	voleti
tekA	Rgp	tako
devOjče	Ncnsn	devojče
tIja	Pd-msn	taj
ovIja	Pd-mpn	ovaj
.	Z	.

se	Pxsa	sebe
smEj	Npmsn	Smej
On	Pp3msn	on
znAe	Vmr3s	znati
jA	Pp1-sn	ja
vOlim	Vmr1s	voleti
.	Z	.

tekA	Rgp	tako
devOjče	Ncnsn	devojče
tIja	Pd-msan	taj
gde	Cs	gde
nEma	Vmr3s	imati
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
nesmO	Var1p	biti
čuvAli	Vmp-pm	čuvati
.	Z	.

pa	Cc	pa
i	Cc	i
sAg	Rgp	sad
nEma	Vmr3s	imati
ovIja	Pd-mpn	ovaj
.	Z	.

vEnci	Ncnpa	venci
li	Cc	ili
?	Z	?
.	Z	.

a	Cc	a
tOj	Pd-nsn	taj
za	Sa	za
Ovce	Ncfpa	ovca
.	Z	.

pa	Cc	pa
na	Sa	na
đUrđevdan	Ncmsan	đurđevdan
.	Z	.

kAd	Cs	kad
bUde	Vcr3s	biti
na	Sa	na
đUrđevdan	Ncmsan	đurđevdan
.	Z	.

iz/	X	iz/
.	Z	.

izjUtra	Rgp	izjutra
.	Z	.

se	Px--sa	sebe
dizAmo	Vcr3s	dizambiti
rAno	Rgp	rano
.	Z	.

devO/	Z	devO/
devOjčetija	Npfsn	devOjčetija
momčedIja	Npfsn	momčedIja
.	Z	.

kao	Cs	kao
Omladina	Npfsn	Omladina
.	Z	.

rAno	Rgp	rano
se	Pxsa	sebe
dIgnemo	Vmr1p	dignuti
i	Cc	i
Idemo	Vmr1p	ići
.	Z	.

Idemo	Vmr1p	ići
gOre	Rgp	gore
kAm	Rgp	kad
jAbočko	Mdc	jabočko
ravnIšte	Npfsg	ravnIšta
.	Z	.

onO	Pd-nsn	onaj
mI	Pp1-pn	ja
smo	Var1p	biti
si	Px--sd	sebe
blIza	Vmp-sf	bliti
.	Z	.

gOre	Rgp	gore
.	Z	.

i	Cc	i
.	Z	.

kAd	Cs	kad
sabEremo	Vmr1p	sabrati
se	Pxsa	sebe
Omladina	Cs	Omladina
kAko	Cs	kako
što	Cs	što
znAete	Ncnsn	znaete
sAg	Rgp	sad
.	Z	.

kAko	Cs	kako
sAg	Rgp	sad
vI	Pp2-pn	vi
štO	Cs	što
rAdite	Vmr2p	raditi
.	Z	.

#tE#	Qr	#tE#
.	Z	.

tO	Pdsn	taj
je	Var3s	biti
momčIja	Vmp-pm	momčiti
da	Cs	da
mi	Pp1-sd	ja
je	Var3s	biti
.	Z	.

onOj	Pd-nsa	onaj
da	Cs	da
mi	Pp1-sd	ja
je	Var3s	biti
.	Z	.

znAm	Vmr1s	znati
kakO	Cs	kako
#bIl	Vmp-sm	#biti
vIl#	Px--sa	vIl#
pAmetan	Agpmsnn	pametan
tOj	Pd-nsn	taj
.	Z	.

ovO	Pd-nsn	ovaj
naj	Rgp	naj
detE	Ncnsn	dete
paUbavo	Agpnsny	paubav
mOmče	Ncnsn	momče
vI	Pp2-pn	vi
se	Px--sa	sebe
zarAdujete	Vcr3s	biadujeti
ako	Cs	ako
.	Z	.

ako	Cs	ako
li	Qq	li
poRđavo	Agpnsny	porđav
.	Z	.

vIi	Pi-msn	vIi
vI	Pp2-pn	vi
zajEbete	Vmr2p	zajebati
.	Z	.

((XXX))	X	((xxx))
.	Z	.

tekvOj	Npmpn	tekvO
sIne	Ncmsv	sin
.	Z	.

pa	Cc	pa
nabEremo	Vmr1p	nabrati
.	Z	.

s	Sg	sa
cvE1e	Npfsg	cvE1a
.	Z	.

a	Cc	a
mI	Pp1-pn	ja
dok	Cs	dok
nabEremo	Vmr1p	nabrati
cvE1e	Npmpa	cvE1
i	Cc	i
dok	Cs	dok
dOjdemo	Vmr1p	doći
.	Z	.

onO	Pd-nsn	onaj
odOm	Ncfsi	oda
.	Z	.

se	Pxsa	sebe
naprAi	Vmr3s	napraiti
u	Sa	u
tepsIju	Ncfsa	tepsija
.	Z	.

bAnica	Ncfsn	banica
tekvOj	Qr	tekvOj
.	Z	.

jEdine	Agpfpny	jedini
.	Z	.

paa	Cc	pa
.	Z	.

otIdemo	Vmr1p	otići
pOsle	Rgp	posle
dok	Cs	dok
ne	Qz	ne
.	Z	.

tAm	Rgp	tamo
Ima	Vmr3s	imati
vodA	Ncfsn	voda
.	Z	.

odI	Sg	od
nAs	Pp1-pg	mi
odI	Sg	od
.	Z	.

kUćutu	Ncfsa-t	kuća
mAlko	Rgp	malko
.	Z	.

pOosem	Qr	pOosem
.	Z	.

mI	Pp1-pn	ja
otIdemo	Vmr1p	otići
#tWjđe#	Xf	#tWjđe#
naa/	Xf	naa/
napletEmo	Xf	napletEmo
.	Z	.

vEnci	Npmsn	Venci
.	Z	.

dvA	Mlc	dva
trI	Mlc	tri
.	Z	.

za	Sa	za
mAlećko	Agpnsay	malećki
jAgnje	Ncnsa	jagnje
zaa	Agpnsay	zai
.	Z	.

mAter	Ncfsn	mater
im	Pp3-pd	oni
.	Z	.

za	Sa	za
ednU	Npfsa	Edna
ovcU	Ncfsa	ovca
.	Z	.

ispletEmo	Vmr1p	isplesti
.	Z	.

po	Sl	po
me	Pp1-sa	ja
zAdrži	Vmr3s	zadržati
.	Z	.

e	I	e
ne	Qz	ne
mOg	Vmr1s	moći
da	Cs	da
#izdr?#	Qr	#izdr?#
.	Z	.

pa	Cc	pa
na	Sl	na
ispletEmo	Vmr1p	isplesti
vEnci	Ncnpa	venci
.	Z	.

i	Cc	i
donesEmo	Vmr1p	doneti
dOm	Ncmsan	dom
.	Z	.

vencIti	Ncmpa-t	venac
.	Z	.

i	Cc	i
nakarAmo	Vmr1p	nakarati
.	Z	.

ovcEte	Ncfpa-t	ovca
u	Sl	u
zagOn	Npmsl	zagi
.	Z	.

tekA	Rgp	tako
ga	Pp3msa	on
Okamo	Vmr1p	okati
.	Z	.

zagOn	Npmsn	zagOn
zagrAdeno	Npmsn	zagrAdeno
.	Z	.

pa	Cc	pa
sEdneš	Vmr2s	sesti
na	Sa	na
stolIcu	Ncfsa	stolica
.	Z	.

i	Cc	i
.	Z	.

mI	Pp1-pn	ja
skArvemo	Vmr1p	skaivati
.	Z	.

muzAč	Npmsn	muzAč
muzE	Vmr3s	musti
.	Z	.

i	Cc	i
kojA	Pisn	koji
ovcA	Ncfsn	ovca
izlEzne	Vmr3s	izleći
naprEd	Rgp	napred
.	Z	.

na	Sa	na
nju	Pp3fsa	on
se	Px--sa	sebe
tUri	Vmr3s	turiti
.	Z	.

venčAkat	Ncmsn-t	venčak
.	Z	.

nA	Sa	na
glavu	Ncfsa	glava
se	Px--sa	sebe
natAkne	Vmr3s	nataći
.	Z	.

e	I	e
ovčA	Qr	ovčA
.	Z	.

aa	Cc	a
.	Z	.

jAgnje	Ncnsn	jagnje
kojE	Pisn	koji
izlEzne	Vmr3s	izleći
onO	Pd-nsn	onaj
i	Cc	i
onO	Pd-nsn	onaj
.	Z	.

i	Cc	i
svI	Vmr3s	svirati
na	Sa	na
jAgnje	Ncnsa	jagnje
tEka	Rgp	tako
.	Z	.

tUrimo	Vmr1p	turiti
.	Z	.

al	Cc	ali
pRvo	Rgp	prvo
ispletEmo	Vmr1p	isplesti
za	Sa	za
kotAlat	Ncnsa	kotao
.	Z	.

za	Sa	za
vedrOto	Npnsa	vedrOto
.	Z	.

mI	Pp1-sd	ja
ga	Pp3msa	on
vedrO	Rgp	vedro
Okamo	Vmr1p	okati
štO	Cs	što
muzEmo	Vmr1p	musti
.	Z	.

pa	Cc	pa
tUrimo	Vmr1p	turiti
na	Sa	na
vedrOto	Npnsa	vedrOto
.	Z	.

pa	Cc	pa
tUrimo	Vmr1p	turiti
u	Sa	u
vedrOto	Ncnsa	vedro
.	Z	.

#trAmizat#	Qr	#trAmizat#
.	Z	.

tvOri	Vmr3s	tvoriti
Oči	Ncnpn	oko
.	Z	.

pa	Cc	pa
mU	Pp3msd	on
se	Px--sa	sebe
bEše	Vce3s	biti
i	Cc	i
Oči	Ncnpn	oko
.	Z	.

pa	Cc	pa
tUrimo	Vmr1p	turiti
u	Sa	u
.	Z	.

u	Sl	u
ko/	X	ko/
u	Sl	u
vedrOto	Npmsl	vedrOto
.	Z	.

parU	Ncfsa	para
.	Z	.

pUštimo	Qr	pUštimo
.	Z	.

pa	Cc	pa
ponesEmo	Vmr1p	poneti
.	Z	.

ćEšalj	Qr	ćEšalj
.	Z	.

tOj	Pd-nsn	taj
znjAete	Vcp-sn	znjaeti
.	Z	.

ćEšalj	Qr	ćEšalj
.	Z	.

ostrIlo	Npmsn	ostrIlo
.	Z	.

tOj	Pd-nsn	taj
ne	Qz	ne
znA	Vmr3s	znati
ne	Qz	ne
znA	Vmr3s	znati
ne	Qz	ne
znA	Vmr3s	znati
.	Z	.

ostrIlo	Npmsn	ostrIlo
.	Z	.

kvO	Pr-nsn	kvo
bEše	Vce3s	biti
jOš	Rgp	još
.	Z	.

jajcE	Ncnsa	jaje
.	Z	.

jajcE	Ncnsa	jaje
.	Z	.

kvO	Pr-nsn	kvo
bEše	Vce3s	biti
jOš	Rgp	još
zaboravI	Vmr3s	zaboraviti
drUgo	Mlonsa	drugi
tO	Pd-nsa	taj
.	Z	.

i	Cc	i
tO	Pd-nsn	taj
svAko	Pi-nsn	svaki
.	Z	.

kakO	Cs	kako
izlEzne	Vmr3s	izleći
ovcAta	Vcp-sn	ovcati
.	Z	.

onO	Pd-nsn	onaj
ga	Pp3msa	on
pIpnu	Vmr3p	pipnuti
po	Sa	po
vIme	Ncnsa	vime
.	Z	.

te	Cc	te
tI	Pp2-sn	ti
znAeš	Vmr2s	znati
bre	I	bre
.	Z	.

Evo	I	evo
vIdim	Vmr1s	videti
ju	Pp3fsa	on
jA	Pp1-sn	ja
.	Z	.

da	Cs	da
na	Sa	na
znA	Vmr3s	znati
.	Z	.

i	Cc	i
s	Si	sa
svAko	Pi-nsn	svaki
pIpne	Vmr3s	pipnuti
u	Sa	u
.	Z	.

u	Sa	u
onO	Pd-nsa	onaj
vImeto	Agpnsny	vimet
.	Z	.

kad	Cs	kad
izlEzne	Vmr3s	izleći
pIpne	Vmr3s	pipnuti
i	Cc	i
pOsle	Rgp	posle
ml/	Mdc	ml/
.	Z	.

mlzE	Npmsn	mlzE
.	Z	.

kad	Cs	kad
pIpne	Vmr3s	pipnuti
vimOto	Ncnsn	vimo
onA	Pp3fsn	on
mlzE	Vcr3s	mlzbiti
pOsle	Rgp	posle
.	Z	.

ta	Cs	da
tekvOj	Pi-nsn	tekvOj
.	Z	.

i	Cc	i
sEdnemo	Vmr1p	sesti
pOsle	Rgp	posle
mlzEmo	Mdc	mlzemo
.	Z	.

Uznemota	Npfsn	Uznemota
.	Z	.

se	Px--sd	sebe
prekrstImo	Vmr1p	prekrstiti
.	Z	.

na	Sa	na
zagOn	Npmsan	zagOn
.	Z	.

pIjnemo	Vmr1p	pijnuti
raćijIcu	Npfsa	raćijIca
.	Z	.

ta	Cs	da
da	Cs	da
vIdimo	Vmr1p	videti
da	Cs	da
pomlzEmo	Vmr1p	pomlzeti
ovcEte	Ncfpa-t	ovca
.	Z	.

tekvO	Pd-nsn	takav
e	I	e
sIne	Ncmsv	sin
.	Z	.

i	Cc	i
pOsle	Rgp	posle
.	Z	.

kAd	Cs	kad
pomlzEmo	Vmr1p	pomlzeti
svE	Pi-nsn	sav
.	Z	.

mI	Pp1-pn	ja
Uznemo	Vmr1p	uzeti
.	Z	.

kOji	Pisn	koji
n	Qz	ne
mLze	Pp2-sd	mLze
On	Pp3msn	on
Uzne	Vmr3s	uzeti
.	Z	.

jajcEto	Qr	jajcEto
.	Z	.

pa	Cc	pa
podIgi	Npmpn	podIg
kotalAt	Vmp-sm	kotalati
.	Z	.

iskOpa	Vmr3s	iskopati
rUpicu	Ncfsa	rupica
.	Z	.

mAlečna	Appfsny	malečti
na	Sa	na
kolkO	Pq-nsn	koliki
d/	Qr	d/
.	Z	.

da	Cs	da
postAviš	Vmr2s	postaviti
jajcE	Ncnsa	jaje
.	Z	.

u	Sl	u
tOja	Npfsl	tOja
i	Cc	i
zakOpaš	Vmr2s	zakopati
ga	Pp3msa	on
.	Z	.

evE	I	evo
jajcEto	Pi3n-a	jajcEto
.	Z	.

i	Cc	i
.	Z	.

i	Cc	i
otIdemo	Vmr1p	otići
si	Px--sd	sebe
.	Z	.

pomlzEm	Qr	pomlzEm
i	Cc	i
otIdemo	Vmr1p	otići
si	Px--sd	sebe
da	Cs	da
ručUjemo	Qr	ručUjemo
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

a	Cc	a
drUgo	Mlonsa	drugi
kvO	Pi-nsn	kvo
bEše	Vce3s	biti
jOšte	Rgp	još
.	Z	.

aa	Cc	a
.	Z	.

pOsle	Rgp	posle
glEdamo	Vmr1p	gledati
.	Z	.

porUčamo	Npmsn	porUčamo
.	Z	.

pa	Cc	pa
g	Pp3msa	on
Uznemo	Vmr1p	uzeti
.	Z	.

drvcE	Ncnsn	drvce
.	Z	.

pa	Cc	pa
raščAčimo	Qr	raščAčimo
da	Cs	da
vIdimo	Vmr1p	videti
.	Z	.

da	Cs	da
li	Qq	li
kudA	Rgp	kuda
jajcEto	Rgp	jajceto
smo	Var1p	biti
zakopAli	Vmp-pm	zakopati
.	Z	.

da	Cs	da
li	Qq	li
Ima	Vmr3s	imati
nEkva	Aspfsny	nekv
živIna	Ncfsn	živina
.	Z	.

da	Cs	da
izlAzi	Vmr3s	izlaziti
il	Cc	ili
nEma	Vmr3s	imati
.	Z	.

evE	I	evo
.	Z	.

aa	Cc	a
mI	Pp1-pn	ja
.	Z	.

kAd	Cs	kad
.	Z	.

ss	Agpmsny	ss
ćovEk	Ncmsn	čovek
se	Px--sa	sebe
((?))	X	((?))
poglEda	Vmr3s	pogledati
.	Z	.

onO	Pd-nsn	onaj
samO	Rgp	samo
li	Cc	ili
mu	Pp3msd	on
brobInjci	Vmp-pm	brobinjti
.	Z	.

u	Sl	u
zemljUtu	Npmsl	zemljUt
znAči	Vmr3s	značiti
.	Z	.

imA	Vmr3s	imati
berićEt	Ncmsan	berićet
.	Z	.

tUj	Rgp	tu
#velImnulo#	Mdc	#velimnulo#
.	Z	.

lAze	Vmr3p	laziti
.	Z	.

etE	I	eto
tekvOj	Pi-nsn	tekvOj
sIne	Ncmsv	sin
.	Z	.

kojE	Pi-nsn	koji
?	Z	?
.	Z	.

pa	Cc	pa
.	Z	.

poznAvo	Vmr3s	poznavoti
se	Px--sa	sebe
kad	Cs	kad
((?))	X	((?))
.	Z	.

prI	Sl	pri
lekAr	Ncmsn	lekar
.	Z	.

ot/	X	ot/
o	I	o
te	Pp2-sa	ti
odvedE	Vmr3s	odvesti
Ide	Vmr3s	ići
rEč	Ncfsa	reč
.	Z	.

kad	Cs	kad
odvedE	Vmr3s	odvesti
pri	Sl	pri
lekA/	X	leka/
pri	Sl	pri
lekAra	Ncmsay	lekar
.	Z	.

preglEd	Ncmsn	pregled
onO	Pd-nsn	onaj
.	Z	.

tI	Pp2-sd	ti
kAže	Vmr3s	kazati
.	Z	.

devOjče	Ncnsn	devojče
li	Cc	ili
je	Var3s	biti
mUško	Agpnsny	muški
li	Cc	ili
je	Vmr3s	biti
štO	Cs	što
kAže	Vmr3s	kazati
.	Z	.

On	Pp3msn	on
ti	Pp2-sn	ti
tO	Pd-nsa	taj
oprIča	Vmp-sf	opriti
.	Z	.

i	Cc	i
tI	Pp2-sn	ti
znAeš	Vmr2s	znati
a	Cc	a
ovAk	Rgp	ovako
.	Z	.

kakO	Cs	kako
će	Var3s	hteti
Unapred	Npmsn	Unapred
da	Cs	da
znAeš	Vmr2s	znati
.	Z	.

kad	Cs	kad
si	Px--sd	sebe
dOm	Ncmsn	dom
kakvO	Pi-nsn	kakav
se	Px--sa	sebe
.	Z	.

preglEduj	Npmsn	preglEduj
me	Pp1-sa	ja
sAg	Rgp	sad
.	Z	.

kad	Cs	kad
sWm	Vmp-sm	swti
.	Z	.

pri	Sl	pri
tEg	Ncmsn	teg
došWl	Mdm	došwl
sAg	Rgp	sad
će	Var3s	hteti
me	Pp1-sa	ja
preglEda	Vmr3s	pregledati
.	Z	.

a	Cc	a
ovAk	Rgp	ovako
kOj	Pi3m-n	koji
će	Var3s	hteti
me	Pp1-sa	ja
.	Z	.

pa	Cc	pa
dOk	Cs	dok
je	Var3s	biti
nIje	Var3s	biti
bilO	Vapn	biti
lekAr	Ncmsn	lekar
.	Z	.

pa	Cc	pa
ću	Var1s	hteti
((?))	X	((?))
ću	Var1s	hteti
prIčam	Vmr1s	pričati
.	Z	.

pa	Cc	pa
tekA	Rgp	tako
.	Z	.

nEje	Var3s	biti
lekAr	Ncmsn	lekar
bilO	Vmp-sn	biti
.	Z	.

imAlo	Vmp-sn	imati
.	Z	.

nOsiš	Vmr2s	nositi
nOsiš	Vmr2s	nositi
tI	Pp2-sn	ti
si	Px--sd	sebe
.	Z	.

tI	Pp2-sn	ti
si	Var2s	biti
trUdna	Agpfsny	trudan
.	Z	.

tI	Pp2-sd	ti
mOž	Vmr3s	moći
da	Cs	da
((?))	X	((?))
nOsiš	Vmr2s	nositi
.	Z	.

do	Sg	do
#derEdna#	Qr	#derEdna#
.	Z	.

pa	Cc	pa
((?))	X	((?))
lekAr	Ncmsn	lekar
kudE	Rgp	kuda
do	Sg	do
te	Pp2-sa	ti
.	Z	.

sElim	Vmr1s	seliti
pri	Sl	pri
lekAra	Ncmpg	lekar
kAd	Cs	kad
nEma	Vmr3s	imati
.	Z	.

lekAr	Ncmsn	lekar
.	Z	.

jA	Pp1-sn	ja
sam	Vcr1s	biti
u	Sl	u
bAbin	Aspmsann	babin
zUb	Ncmsan	zub
.	Z	.

a	Cc	a
lekArat	Ncmsn	lekar
evE	I	evo
ga	Pp3msa	on
.	Z	.

po	Sa	po
knjAževac	Npmsay	knjaževac
po	Sa	po
kAlnu	Npmsay	kalna
.	Z	.

ta	Cs	da
tekvO	Pd-nsn	takav
etE	I	eto
.	Z	.

#čEje#	Qr	#čEje#
.	Z	.

p	Cc	pa
onO	Pd-nsn	onaj
.	Z	.

gdE	Rgp	gde
.	Z	.

gdE	Cs	gde
mEne	Ncfpn	mena
.	Z	.

gdE	Rgp	gde
m	X	m
tresU	Vmr3p	tresti
s	Si	sa
sIne	Ncmsv	sin
rUće	Pi3n-n	rUće
vIš	Vmr2s	videti
.	Z	.

onO	Pd-nsn	onaj
ovAk	Rgp	ovako
.	Z	.

nEma	Vmr3s	imati
tOlko	Rgp	toliko
sAmo	Rgp	samo
.	Z	.

pOče	Vma3s	početi
mi	Pp1-pn	ja
škUdi	Ncfsd	škuda
k/	X	k/
kUdža	Npfsn	kUdža
vrEvi	Vmr3s	vrevati
.	Z	.

evE	I	evo
.	Z	.

pa	Cc	pa
za/	Ncfpn	zaa
ka/	X	k/
zavrevI	Vmp-pm	zavreti
nekvO	Pi--sn	nekvo
pa	Cc	pa
zaborI	Qr	zaborI
da	Cs	da
tO	Pd-nsn	taj
kAže	Vmr3s	kazati
.	Z	.

evE	I	evo
.	Z	.

tekvOj	Npmsn	tekvOj
tekvOj	Npmsn	tekvOj
sIne	Ncmsv	sin
.	Z	.

a	Cc	a
.	Z	.

te	Cc	te
setI	Vmr3s	setiti
se	Px--sa	sebe
nEkada	Rgp	nekada
.	Z	.

da	Cs	da
dokA\em	Qr	dokA\em
.	Z	.

pa	Cc	pa
.	Z	.

nOsiš	Vmr2s	nositi
nOsiš	Vmr2s	nositi
dOk	Cs	dok
je	Var3s	biti
rEd	Ncmsn	red
no	Cc	no
.	Z	.

ženA	Ncfsn	žena
da	Cs	da
.	Z	.

se	Px--sa	sebe
porOdi	Vmr3s	poroditi
.	Z	.

kAd	Cs	kad
te	Pp2-sa	ti
Upre	Vmr3s	upreti
.	Z	.

jAko	Rgp	jako
((laugh))	X	((laugh))
.	Z	.

#jAvi#	Qr	#jAvi#
.	Z	.

kAd	Cs	kad
te	Pp2-sa	ti
Upre	Vmr3s	upreti
.	Z	.

jAko	Rgp	jako
žEga	Ncfsn	žega
.	Z	.

prIpre	Vmp-sn	pripti
po	Sa	po
stomAk	Ncmsan	stomak
.	Z	.

((?))	X	((?))
bolI	Vmp-pm	bosti
.	Z	.

postO	Rgp	posto
.	Z	.

tI	Pp2-sn	ti
Odiš	Vmr2s	otići
Odiš	Vmr2s	otići
Odiš	Vmr2s	otići
.	Z	.

izlAziš	Vmr2s	izlaziti
na	Sl	na
tAm	Rgp	tamo
na	Sa	na
vAm	Rgp	ovamo
na	Sa	na
tAm	Rgp	tamo
na	Sa	na
vAm	Rgp	ovamo
.	Z	.

da	Cs	da
se	Pxsa	sebe
razmRdaju	Vmr3p	razmrdati
kOsće	Ncfpn	kosća
.	Z	.

da	Cs	da
si	Px--sd	sebe
.	Z	.

nAjde	Vmr3s	naći
onO	Pd-nsa	onaj
.	Z	.

svOje	Pxsg	svoj
.	Z	.

mEsto	Ncnsn	mesto
.	Z	.

i	Cc	i
Odiš	Vmr2s	otići
Odiš	Vmr2s	otići
.	Z	.

izlAziš	Vmr2s	izlaziti
i	Cc	i
na	Sa	na
dvOr	Ncmsan	dvor
i	Cc	i
.	Z	.

navratlO	Vmp-sn	navratti
da	Cs	da
izlAzi	Vmr3s	izlaziti
.	Z	.

tI	Pp2-sn	ti
ulEzneš	Pd-nsa	ulEzneš
i	Cc	i
u	Sa	u
sObu	Ncfsa	soba
i	Cc	i
onO	Pd-nsn	onaj
tI	Pp2-sd	ti
će	Var3s	hteti
.	Z	.

prirovE	Qr	prirovE
.	Z	.

bUbne	Vmr3s	bubnuti
na	Sa	na
zEm	Ncmsan	zem
.	Z	.

prirovE	Qr	prirovE
.	Z	.

Ajde	I	hajde
uzImajte	Vmm2p	uzimati
ga	Pp3msa	on
bAbe	Ncfpn	baba
.	Z	.

Ajde	I	hajde
mUško	Agpnsny	muški
li	Cc	ili
je	Vcr3s	biti
.	Z	.

mUško	Agpnsny	muški
.	Z	.

o	I	o
.	Z	.

rucAnje	Qr	rucAnje
.	Z	.

pEsan	Ncfsa	pesan
.	Z	.

štO	Cs	što
je	Var3s	biti
mUško	Agpnsny	muški
imA	Vmr3s	imati
mUda	Ncnpa	mudo
.	Z	.

tekvOj	Qr	tekvOj
.	Z	.

daa	Cs	da
.	Z	.

štO	Cs	što
se	Pxsa	sebe
ne	Qz	ne
za	Sa	za
devOjće	Agpmpay	devojći
ne	Qz	ne
zarAduju	Vmp-pm	zaraduti
.	Z	.

nEgo	Cc	nego
za	Sa	za
mUško	Agpnsay	muški
.	Z	.

