dobar	Agpmsnn	dobar
tOj	Pd-nsn	taj
•	X	•
dvanAes	Npmsn	dvanAes
Iljadi	Npmsn	Iljadi
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

ali	Cc	ali
za	Sa	za
lEkovi	Ncmpn	lek
svAko/	Npmsn	svAko/
((?))	X	((?))
•	X	•
mEsečno	Rgp	mesečno
dAvam	Mdc	davam
po	Sl	po
iljAdo	Ncfsl	iljada
dinAra	Ncmsg	dinar
.	Z	.

i	Cc	i
strUju	Ncfsa	struja
iljAdo	Ncfsv	iljada
I	Cc	i
po	Sa	po
strUju	Ncfsa	struja
plAćam	Vmr1s	plaćati
ovdE	Rgp	ovde
.	Z	.

a	Cc	a
kvO	Pi3n-n	kvo
Iam	Vcr3s	iabiti
sAmo	Rgp	samo
Iam	Npmsi	I
rešO	Vmp-sm	rešti
i	Cc	i
•	X	•
hm	I	hm
fr/	Z	fr/
frIžider	Ncmsan	frižider
i	Cc	i
tOlko	Rgp	toliko
.	Z	.

nE	Qz	ne
e	Var3s	biti
imAla	Vmp-sf	imati
cRkva	Ncfsn	crkva
••	X	••
ovdE	Rgp	ovde
nE	Qz	ne
imAla	Vmpf	imati
Ima	Vmr3s	imati
u	Sa	u
sUsedno	Agpnsay	susedni
sElo	Ncnsa	selo
tAmo	Rgp	tamo
u	Sl	u
bAvince	Npfsl	bAvince
.	Z	.

a	Cc	a
ovdE	Rgp	ovde
nE	Qz	ne
e	Var3s	biti
imAla	Vmp-sf	imati
cRkva	Ncfsn	crkva
.	Z	.

kRstovi	Ncmpn	krst
Ima	Vmr3s	imati
•	X	•
Ima	Npfsn	Ima
Ima	Vmr3s	imati
Ovde	Rgp	ovde
kRs	Ncmsan	krst
na	Sa	na
((XXX))	X	((xxx))
sAd	Rgp	sad
vIš	Vmr2s	videti
((XXX))	X	((xxx))
tU	Rgp	tu
•	X	•
Ima	Vmr3s	imati
krs	Ncmsan	krst
.	Z	.

pa	Cc	pa
Imaa	Agpmsny	imaa
kRs	Ncmsn	krst
aa	Cc	a
tAm	Rgp	tamo
Isto	Rgp	isto
gOre	Rgp	gore
((XXX))	X	((xxx))
•	X	•
pa	Cc	pa
e	Px--sa	sebe
imAlo	Vmp-sn	imati
krRs	Pd-nsn	krRs
gOre	Rgp	gore
na	Sa	na
spAsovdan	Npmsan	spAsovdan
.	Z	.

Ono	Pd-nsn	onaj
pAdlo	Vmp-sn	pasti
•	X	•
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

aa	Cc	a
ovAj	Pd-msn	ovaj
se/	X	se/
ovAj	Pd-msn	ovaj
ovdE	Rgp	ovde
držU/	Rgp	držu/
••	X	••
mOra	Vmr3s	morati
((XXX))	X	((xxx))
.	Z	.

bEše	Vce3s	biti
bOlno	Agpnsny	bolan
Edno	Agpnsny	edan
detE	Ncnsn	dete
na	Sa	na
onOga	Pdsg	onaj
iz	Sg	iz
aaa	Cc	a
•	X	•
knjAževac	Npmsn	knjaževac
•	X	•
na	Sa	na
onOga	Npmsay	onOg
dragAna	Npmsay	Dragan
štO	Pi3n	što
Ono	Pd-nsn	onaj
bEše	Vce3s	biti
u	Sa	u
bAnku	Ncfsa	banka
•	X	•
zEt	Ncmsn	zet
.	Z	.

pa	Cc	pa
bEše	Vce3s	biti
jako	Rgp	jako
((XXX))	X	((xxx))
bolan	Agpmsnn	bolan
•	X	•
pa	Cc	pa
njegOva	Ps3fsn	njegov
mAjka	Ncfsn	majka
••	X	••
i	Cc	i
Ona	Pp3fsn	on
otvOrila/	Ncfsn	otvorila/
izAšla	Vmp-sf	izaći
tU	Rgp	tu
pa	Cc	pa
očistIše	Ncfpn	očistiša
očistIše	Vme3s	očistiti
pa	Cc	pa
turIše	Vma3p	turiti
peškIre	Ncmpa	peškir
i	Cc	i
onO	Pd-nsn	onaj
sAd	Rgp	sad
se/	X	se/
je	Var3s	biti
detEto	Px--sa	detEto
ozdravElo	Vmp-sn	ozdraveti
.	Z	.

i	Cc	i
sAd	Rgp	sad
ga	Pp3msa	on
održAvaju	Vmr3p	održavati
čIste	Agpfpny	čist
pokraj	Sg	pokraj
njEga/	X	njega/
tUj/	Npfsn	tUj/
održAvu	Npfsn	održAvu
ga	Pp3msa	on
.	Z	.

aAa	I	a
.	Z	.

El	Qq	jel
na	Sa	na
kojI	Pisan	koji
prAznik	Ncmsn	praznik
••	X	••
paa	Cc	pa
Idu	Vmr3p	ići
sIne	Ncmsv	sin
al	Cc	ali
kad	Cs	kad
reknU	Vmr3p	reći
sInko	Ncmsn	sinko
al	Cc	ali
na	Sa	na
ǵUrǵovdan	Npmsan	ǵUrǵovdan
naj/	Npmsn	naj/
ǵUrǵovdan/	Npmsn	ǵUrǵovdan/
Ono	Pd-nsn	onaj
tO	Pd-nsn	taj
je	Vcr3s	biti
mnOgo	Rgp	mnogo
kRstovi/	Mdc	krstovi/
tUj	Rgp	tu
onO/	Mdc	ono/
i	Cc	i
ǵUrǵovdan	Mlcmsn	ǵurǵovdan
((XXX))	X	((xxx))
.	Z	.

tU	Rgp	tu
je	Var3s	biti
bilO	Vcp-sn	biti
nEkada	Rgp	nekada
škOla	Ncfsn	škola
pa	Cc	pa
adi	Ncfsl	ada
škOlutu	Ncfsa-t	škola
Imaše	Vme3s	imati
kao	Cs	kao
ḱelIja	Cs	ḱelIja
takvO/	Cs	takvO/
kao	Cs	kao
zgrAda	Ncfsn	zgrada
.	Z	.

pa	Cc	pa
tUj	Rgp	tu
prodAvaju	Vmr3p	prodavati
onOj	Pd-nsn	onaj
•	X	•
slIke	Ncfpa	slika
ǵerdAni	Agpmsny	ǵerdaan
.	Z	.

a	Cc	a
sAg	Rgp	sad
tOj	Pd-nsn	taj
nEma	Vmr3s	imati
sAg	Rgp	sad
sAmo	Rgp	samo
kRsat	Ncmsn-t	krst
ostAo	Vmpm	ostati
•••	X	•••
ali	Cc	ali
ga	Pp3msa	on
pOštuju	Vmr3p	poštovati
ljuǵe	Ncmpa	čovek
.	Z	.

i	Cc	i
dOle	Rgp	dole
Evo	I	evo
na	Sa	na
svEti	Agpmsny	svet
arAngel	Npmsn	arAngel
vElu	Agpfsay	vela
napre	Ncfsa	napra
na	Sa	na
pUt	Ncmsan	put
jEste	Vcr3s	biti
vidEli	Vmp-pm	videti
.	Z	.

na	Sa	na
pUt	Ncmsan	put
kad	Cs	kad
Idete	Vmr2p	ići
ozdOl	Rgp	odozdo
iz	Sg	iz
gR/	Ncmsg	gr
iz	Sg	iz
knjAževac	Npmsay	knjaževac
pa	Cc	pa
na	Sa	na
pUt	Ncmsl	put
tUj	Rgp	tu
Ima	Vmr3s	imati
ovA	Pd-fsn	ovaj
.	Z	.

Ono	Pd-nsn	onaj
vEli	Vmr3s	velim
napraIli	Vmp-pm	napraviti
sA	Si	sa
kao	Cs	kao
češmIcu	Cs	češmIcu
vEli	Vmr3s	velim
.	Z	.

pa	Cc	pa
iz	Sg	iz
nIš	Vmp-sm	niti
čovEk	Ncmsn	čovek
vOzi	Vmr3s	voziti
dRva	Ncnpa	drvo
šsAd	Npmsn	šsAd
ovdEn	Npmsn	ovdEn
Ima	Vmr3s	imati
bosAnac	Ncmsn	bosanac
.	Z	.

pa	Cc	pa
mu	Pp3msd	on
bilA	Vcp-sf	biti
mAjka	Ncfsn	majka
bOlna	Agpfsny	bolan
•••	X	•••
šlogIrana	Npfsn	šlogIrana
.	Z	.

ne	Qz	ne
vidEla	Vmp-sf	videti
i	Qo	i
On	Pp3msn	on
zavaćAl	Vmp-sm	zavaćati
tUj	Pd-fsa	taj
vOdu	Ncfsa	voda
•	X	•
i	Cc	i
onA	Pp3fsn	on
sAg	Rgp	sad
((XXX))	X	((xxx))
gledAla	Vmp-sf	gledati
.	Z	.

pa	Cc	pa
i	Cc	i
sAg	Rgp	sad
vEli	Vmr3s	velim
kad	Cs	kad
gOd	Qo	god
dOjde	Vmr3s	doći
On	Pp3msn	on
po	Sl	po
dEset	Mlc	deset
kIla	Ncfsn	kila
dvAes	Mlc	dvadeset
kIla	Ncfsn	kila
odnesE	Vmr3s	odneti
vOdu	Ncfsa	voda
u	Sl	u
nIš	Npfsl	nIš
.	Z	.

od	Sg	od
tUj	Pd-fsa	taj
vOdu	Ncfsa	voda
((XXX))	X	((xxx))
ali	Cc	ali
ju	Pp3fsa	on
napraIli	Vmp-pm	napraviti
vEli	Vmr3s	velim
((XXX))	X	((xxx))
jA	Pp1-sn	ja
nesAm	Var1s	biti
išlA	Vmp-sf	ići
ali	Cc	ali
prIčaju	Vmr3p	pričati
.	Z	.

naprAena	Npfsn	naprAena
vEli	Vmr3s	velim
kao	Cs	kao
češmA	Qr	češmA
.	Z	.

na	Sa	na
glAvni	Agpmsayn	glavni
pUt	Ncmsan	put
.	Z	.

kad	Cs	kad
Ideš	Vmr2s	ići
od	Sg	od
((?))	X	((?))
mOst	Cs	mOst
kakO	Cs	kako
((XXX))	X	((xxx))
.	Z	.

pa	Cc	pa
kad	Cs	kad
Ieš	Npmsn	Ieš
prema	Sl	prema
gradIšte	Ncnsn	gradište
tAmo	Rgp	tamo
u	Sl	u
gradInutu	Npmsl	gradInut
••	X	••
tAm	Rgp	tamo
.	Z	.

Ima	Vmr3s	imati
dOle	Rgp	dole
svEti	Agpmsny	svet
rAnđel	Npmsn	ranđel
.	Z	.

podi	Vmr3s	padati
pUt	Ncmsan	put
.	Z	.

tO	Pd-nsn	taj
je	Var3s	biti
((XXX))	X	((xxx))
sElo	Ncnsn	selo
tUj	Rgp	tu
je	Var3s	biti
Nekada	Rgp	nekada
bilO	Vcp-sn	biti
tUj/	Agpnsny	tuji
zgrAda	Ncfsn	zgrada
bilO/	Agpmpay	biloi
ljUde	Ncmpa	čovek
Išli	Vmp-pm	ići
na	Sa	na
ručAk	Ncmsan	ručak
na	Sa	na
večEru	Ncfsa	večera
.	Z	.

sEkli	Vmp-pm	seći
ljUǵe	Ncmpa	čovek
kolAči	Ncmpn	kolač
tUj	Rgp	tu
•	X	•
a	Cc	a
gOre	Rgp	gore
vodIca	Ncfsn	vodica
takO	Rgp	tako
bEše	Vce3s	biti
((XXX))	X	((xxx))
.	Z	.

a	Cc	a
sAg	Rgp	sad
vEli	Vmr3s	velim
napraIli	Vmpm	napraviti
češmIcu	Ncfpa	češmica
a	Cc	a
koI	Pi-msn	koji
e	I	e
nekI	Pi-msn	neki
vEli	Vmr3s	velim
iz	Sg	iz
((XXX))	X	((xxx))
.	Z	.

al	Cc	ali
ne	Qz	ne
znAm	Vmr1s	znati
koI	Pi-msn	koji
je	Vcr3s	biti
••	X	••
pa	Cc	pa
i	Cc	i
njEga	Pp3msa	on
naterAla	Vmp-sf	naterati
nEka	Cs	neka
mUka	Ncfsn	muka
.	Z	.

((XXX))	X	((xxx))
.	Z	.

imAlo	Vmp-sn	imati
otkaKo	Rgp	otkako
je	Var3s	biti
tUj/	Npmsn	tUj/
otkakO	Rgp	otkako
jA	Pp1-sn	ja
znAm	Vmr1s	znati
tUj	Rgp	tu
vodA	Ncfsn	voda
imAlo	Vmp-sn	imati
.	Z	.

((XXX))	X	((xxx))
tUj	Rgp	tu
prOjdemo	Vmr1p	proći
sa/	Vmp-pm	sti
pEški	Rgp	peške
•	X	•
onO	Pd-nsn	onaj
se	Px--sa	sebe
odAvna	Rgp	odavno
pEški	Rgp	peške
išlO	Vmp-sn	ići
•	X	•
mI	Pp1-pn	ja
tAg	Rgp	tako
svRnemo	Vmr1p	svrnuti
pa	Cc	pa
se	Px--sa	sebe
umIemo	Vmp-sn	umieti
••	X	••
sas	Si	sa
aa	Cc	a
