dobar	Agpmsnn	dobar
pOiše	Agpmpay	poiši
ljuǵe	Ncmpa	čovek
u	Sa	u
kuḱu	Ncfsa	kuća
•	X	•
a	Cc	a
nE	Qz	ne
imAlo	Vmp-sn	imati
gdE	Cs	gde
da	Cs	da
se	Pxsa	sebe
kUpi	Vmr3s	kupiti
kao	Cs	kao
sAg	Rgp	sad
•	X	•
sAg	Rgp	sad
se/	X	se/
mOž	Vmr3s	moći
da	Cs	da
kUpiš	Vmr2s	kupiti
.	Z	.

Evo	I	evo
bosAnac	Ncmsn	bosanac
•	X	•
On	Pp3msn	on
kupUje	Vmr3s	kupovati
lEb	Ncmsan	hleb
••	X	••
paaa	Cc	pa
jučE	Rgp	juče
mu	Pp3msd	on
doterAli	Vmp-pm	doterati
onAm	Rgp	onamo
stovarI	Agpmsny	stovari
kamiOn	Ncmsn	kamion
.	Z	.

pa	Cc	pa
pre	Rgp	pre
zAvčera	Pi-msn	zAvčera
Uze	Vma1s	uzeti
u	Sa	u
mEne	Pp1a	ja
ondE	Rgp	onda
lEb	Ncmsan	hleb
.	Z	.

pa	Cc	pa
dojdE	Vmr3s	doći
•	X	•
sinOć	Rgp	sinoć
((XXX))	X	((xxx))
ponEl	Agpmsny	ponel
lEb	Ncmsn	hleb
••	X	••
da	Cs	da
vRne	Vmr3s	vrnuti
.	Z	.

rEko	Vma1s	reći
jA	Pp1-sn	ja
sam	Var1s	biti
sƏg	Rgp	sad
mesIla	Vmp-sf	mesiti
.	Z	.

tOj	Pd-nsn	taj
si	Px--sd	sebe
nosI	Vmr3s	nositi
vEli	Vmr3s	velim
e	I	e
pa	Cc	pa
tAg	Rgp	tako
velI	Vmr3s	velim
jA	Pp1-sn	ja
ako	Cs	ako
ne	Qz	ne
Idem	Vmr1s	ići
u	Sa	u
knjAževac	Npmsay	knjaževac
••••	Npmsay	•••
da	Cs	da
jedEm	Vmr1s	jesti
••	X	••
pa	Cc	pa
reKo	Vmp-sm	reći
nosI	Vmr3s	nositi
si	Px--sd	sebe
ga	Pp3msa	on
•	X	•
jA	Pp1-sn	ja
sam	Var1s	biti
mesIla	Vmp-sf	mesiti
jučE	Rgp	juče
.	Z	.

i	Cc	i
tegA	Ncmsg	teg
sInko	Ncmsn	sinko
nIje	Var3s	biti
dObro	Rgp	dobro
.	Z	.

decA	Ncnpn	dete
i	Cc	i
onA	Pp3fsn	on
•••••	Pq3n-n	•••••
si	Px--sd	sebe
glE/	Npmsn	glE/
svAki	Pisn	svaki
glEda	Vmr3s	gledati
za	Sa	za
sEbe	Px--sa	sebe
.	Z	.

po	Sa	po
trI	Mlc	tri
ćEtri	Mlc	četiri
Eto	I	eto
mI	Pp1-pn	ja
smo	Var1p	biti
bilI	Vmp-pm	biti
pEt	Mlc	pet
.	Z	.

ja	Pp1-sn	ja
sam	Var1s	biti
poslEdnja	Agpfsny	poslednji
rEko	Vma1s	reći
štO	Pi3n-a	što
mEn	Pp1-sd	ja
čuVAli	Vmp-pm	čuvati
•	X	•
za	Sa	za
kvO	Pr-nsn	kvo
so	Ncfsn	sol
mEn/	Vcr3s	menbiti
za	Sa	za
kvO	Pr-nsn	kvo
su	Var3p	biti
me	Pp1-sa	ja
čuvAli	Vmp-pm	čuvati
poslEdnju	Agpfsay	poslednji
.	Z	.

pa	Cc	pa
nam	Pp1-pd	mi
baštA	Ncfsn	bašta
••	X	••
brAǵa	Ncfsn	braǵa
mi	Pp1-sd	ja
•	X	•
edAn	Mlcmsn	jedan
mi	Pp1-sd	ja
Umre	Vma3s	umreti
brAT	Ncmsn	brat
u	Sa	u
bOr	Ncmsan	bor
imAla	Vmp-sf	imati
sam	Var1s	biti
brAḱu	Vmp-sf	brati
u	Sa	u
bOr	Ncmsan	bor
dvojIcu	Ncfsa	dvojica
.	Z	.

pa	Cc	pa
On	Pp3msn	on
Umre	Vmr3s	umreti
paa	Cc	pa
a	Cc	a
drugIjat	Npmsn	drugIjat
pOsle	Rgp	posle
On	Pp3msn	on
dojdE	Vmr3s	doći
tUj	Rgp	tu
da	Cs	da
ga	Pp3msa	on
čUva	Vmr3s	čuvati
baǵi	Qo	baǵi
ti	Pp2-sn	ti
pa	Cc	pa
se	Px--sa	sebe
rAzbole	Vmp-pf	razboleti
•	X	•
ne	Qz	ne
mOže	Vmr3s	moći
ni	Qo	ni
On	Pp3msn	on
.	Z	.

tAg	Rgp	tako
Ostaji	Npmpn	Ostaj
na	Sa	na
mEne	Pp1-sa	ja
stArca	Ncmsay	starac
.	Z	.

a	Cc	a
stArca	Ncmsay	starac
imAla	Vmp-sf	imati
sam	Var1s	biti
svEkra	Ncmsg	svekar
•••	X	•••
na	Sa	na
njEg	Pp3msa	on
pa	Cc	pa
mu	Pp3msd	on
ocEkoše	Vmr3s	ocekosati
nOgu	Ncfsa	noga
.	Z	.

svE	Pi-nsn	sav
jA	Pp1-sn	ja
•	X	•
dok	Cs	dok
bEoše	Vmp-sn	biti
decA	Ncnpn	dete
onE	Pp3fpn	oni
pomAgau	Vmr3p	pomaivati
me	Pp1-sa	ja
pOsle	Rgp	posle
jA	Pp1-sn	ja
.	Z	.

aAa	Cc	a
•	X	•
pa	Cc	pa
velIm	Vmr1s	velim
na	Sa	na
baštU	Ncfsa	bašta
onAm	Rgp	onamo
•	X	•
otIdem	Vmr1s	otiti
kod	Sg	kod
baštUtu	Ncmsg	bašta
pa	Cc	pa
•	X	•
da	Cs	da
vu	Sa	u
odnesEm	Vmr1s	odneti
lEb	Ncmsan	hleb
s	Si	sa
lEb	Ncmsan	hleb
.	Z	.

pa	Cc	pa
velIm	Vmr1s	velim
štO	Cs	što
se	Pxsa	sebe
me	Pp1-sa	ja
čuvAli	Vmp-pm	čuvati
mEne	Pp1-sa	ja
•	X	•
jA	Pp1-sn	ja
sam	Vcr1s	biti
pEta	Ncfsn	peta
.	Z	.

a	Cc	a
On	Pp3msn	on
velI	Vmr3s	velim
a	Cc	a
koI	Pi-msn	koji
bi	Vaa3s	biti
me	Pp1-sa	ja
sAg	Rgp	sad
mEne	Pp1-sa	ja
čuvAl	Vmp-sm	čuvati
.	Z	.

koI	Pi-msn	koji
bi	Vaa3s	biti
vEli	Vmr3s	velim
mEn	Pp1-sd	ja
čuvAl	Vmp-sm	čuvati
sAg	Rgp	sad
da	Cs	da
ne	Qz	ne
si	Var2s	biti
tI	Pp2-sn	ti
.	Z	.

pa	Cc	pa
kad	Cs	kad
ga	Pp3msa	on
Oknem	Vmr1s	oknuti
srAm	Ncmsan	sram
me	Pp1-sa	ja
jUtrom	Ncnsi	jutro
da	Cs	da
ga	Pp3msa	on
Oknem	Npmsi	Okn
.	Z	.

srAm	Ncmsn	sram
me	Pp1-sa	ja
bUde	Var3s	biti
umrEl	Vmp-sm	umreti
••	X	••
a	Cc	a
jA	Pp1-sn	ja
Idem	Vmr1s	ići
•••	X	•••
kude	Rgp	kuda
trI	Mlc	tri
sAati	Npmsn	sAati
pa	Cc	pa
mu	Pp3msd	on
nakladEm	Vmr1s	nakladeti
ondE	Rgp	onda
kAže	Vmr3s	kazati
jA	Pp1-sn	ja
sam	Var1s	biti
blIzo	Rgp	blizo
ondE	Rgp	onda
.	Z	.

nakladEm	Vmr1s	nakladeti
u	Sa	u
špOret	Ncmsan	šporet
•••	X	•••
pa	Cc	pa
Okam	Npmsn	Okam
tAto	Npmsn	tAto
••••	Npmsn	••••
a	Cc	a
On	Pp3msn	on
se	Px--sa	sebe
ozOvne	Vmr3s	ozovnuti
.	Z	.

a	Cc	a
On	Pp3msn	on
velI	Vmr3s	velim
kad	Cs	kad
te	Pp2-sa	ti
čUjem	Vmr1s	čuti
velIi	Ncmpn	veli
milOjke	Npfsg	Milojka
kao	Cs	kao
gOd	Qo	god
((XXX))	X	((xxx))
da	Cs	da
čUjem	Vmr1s	čuti
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
pOtika	Vmp-sn	potiti
i	Cc	i
On	Pp3msn	on
.	Z	.

pa	Cc	pa
••	X	••
Eto	I	eto
jA	Pp1-sn	ja
kad	Cs	kad
sam	Var1s	biti
bilA	Vcp-sf	biti
•••	X	•••
u	Sa	u
škOlu	Ncfsa	škola
••	X	••
Osam	Mlc	osam
decA	Ncnpn	dete
u	Sa	u
edAn	Pisan	edAn
rAzred	Ncmsan	razred
••	X	••
ednO	Mlcnsa	jedan
gOdište	Ncnsa	godište
••••	Npmsn	••••
Osam	Npmsn	Osam
••••	Npmsn	••••
u	Sl	u
dRvnik	Npmsl	dRvnac
.	Z	.

a	Cc	a
sAg	Rgp	sad
((XXX))	X	((xxx))
sAg	Rgp	sad
nEma	Vmr3s	imati
ni	Qo	ni
decA/	Agpfpny	decai
neḱ	Ncfpn	nea
se	Pxsa	sebe
ni	Qo	ni
u	Sa	u
palAnku	Ncfsa	palanka
decA	Ncnpn	dete
((XXX))	X	((xxx))
.	Z	.

pa	Cc	pa
kad	Cs	kad
sam	Var1s	biti
jA	Pp1-sn	ja
čuvAla	Vmp-sf	čuvati
dEcu	Ncnpa	dete
••••••	Agpnsay	•••••i
onO	Pd-nsn	onaj
nEje	Var3s	biti
imAlo	Vmp-sn	imati
ko	Cs	kao
sAg	Rgp	sad
•••	X	•••
nego	Cc	nego
((XXX))	X	((xxx))
upRtim	Vmr1s	uprtiti
ga	Pp3msa	on
u	Sl	u
ljUljḱu	Npmsl	ljUljḱ
•	X	•
((XXX))	X	((xxx))
sas	Si	sa
njEga	Pp3msa	on
kOpam	Vmr1s	kopati
.	Z	.

ljUljḱa	Npmsn	ljUljḱa
na	Sl	na
grbInu	Npmsl	grbIn
a	Cc	a
jA	Pp1-sn	ja
kOpam	Vmr1s	kopati
.	Z	.

((XXX))	X	((xxx))
rovE	Ncnsn	rov
•	X	•
glAdno	Agpnsny	gladan
li	Qq	li
je	Vcr3s	biti
bilO	Vcp-sn	biti
kakvO	Pi-nsn	kakav
li	Qq	li
e	I	e
nE	Qz	ne
znam	Vmr1s	znati
ni	Qo	ni
jA	Pp1-sn	ja
.	Z	.

a	Cc	a
sƏg	Rgp	sad
((XXX))	X	((xxx))
jA	Pp1-sn	ja
kazUjem	Vmr1s	kazivati
kod	Sg	kod
((?))	X	((?))
njI	Pp3-pa	oni
rEko	Vmp-sm	reći
kakO	Cs	kako
sam	Var1s	biti
jA	Pp1-sn	ja
tEb	Vmp-sf	tti
čuvAla	Vmp-sf	čuvati
nI	Qo	ni
krIva	Agpfsny	kriv
kuI/	Vcr3s	kuibiti
kIčma	Ncfsn	kičma
nI	Cc	ni
nIšta	Pi3n-n	ništa
nIsam	Var1s	biti
te	Pp2-sa	ti
kod	Sg	kod
lekAra	Ncmsg	lekar
nosIla	Vmp-sf	nositi
nI	Qo	ni
nIšta	Pi3n-n	ništa
.	Z	.

a	Cc	a
onA	Pp3fsn	on
velI	Vmr3s	velim
kad	Cs	kad
bi	Vaa3s	biti
sAg	Rgp	sad
decA	Ncnpn	dete
čuvAla	Vmp-sf	čuvati
tekA	Rgp	tako
onI	Pp3mpn	oni
bi	Vaa3s	biti
umrElo/	Npmsn	umrElo/
onO	Pd-nsn	onaj
bi	Vaa3s	biti
umrElo	Vmp-sn	umreti
Ono	Pd-nsn	onaj
((?))	X	((?))
ne	Qz	ne
ni	Qo	ni
živElo	Vmp-sn	živeti
((laugh))	X	((laugh))
••	X	••
i	Cc	i
tekA	Rgp	tako
.	Z	.

takO	Rgp	tako
.	Z	.

kakO	Cs	kako
da/	X	da/
kakO	Cs	kako
se	Px--sa	sebe
uspavAlo	Vmp-sn	uspavati
.	Z	.

pa	Cc	pa
kUj	Pi3m-n	ko
se	Px--sa	sebe
uspavAlo	Vmp-sn	uspavati
sAmo	Rgp	samo
se	Pxsa	sebe
tUri	Vmr3s	turiti
iznad	Sg	iznad
krEvet	Ncmsn	krevet
neje	Var3s	biti
imAlo	Vmp-sn	imati
ni	Qo	ni
krEveti	Agpmsny	krevet
sInko	Ncmsn	sinko
odAvna	Rgp	odavno
.	Z	.

jA	Pp1-sn	ja
dok	Cs	dok
sam	Var1s	biti
onAm	Rgp	onamo
bilA	Vmp-sf	biti
oženIla	Vmp-sf	oženiti
sam	Var1s	biti
se	Pxsa	sebe
u	Sa	u
dvAes	Mlc	dvadeset
i	Cc	i
dvE	Mlcf-n	dva
gOdine	Ncfsg	godina
onOo	Pd-nsn	onaj
.	Z	.

spAla	Vmp-sf	spati
sam	Var1s	biti
na	Sl	na
((?))	X	((?))
((XXX))	X	((xxx))
nEma	Vmr3s	imati
krEvet	Ncmsan	krevet
•	X	•
kao	Cs	kao
sQg	Ncnpn	sqe
a	Cc	a
sAg	Rgp	sad
čim	Cs	čim
se	Pxsa	sebe
rOdi	Vmr3s	roditi
Odma	Rgp	odmah
krEveti	Ncmpn	krevet
Odma	Rgp	odmah
.	Z	.

nE	Qz	ne
tOj	Pd-nsn	taj
tOj	Pd-nsn	taj
nEje	Vcr3s	biti
imAlo	Vmp-sn	imati
u	Sl	u
dRvnik	Ncfsl	drvnia
••••	Z	••••
tOj	Pd-nsn	taj
nE	Qz	ne
imAlo	Vmp-sn	imati
.	Z	.

nE	Qz	ne
nE	Qz	ne
tOj	Pd-nsn	taj
u	Sl	u
ljUljḱe	Px--sa	ljUljḱe
••	X	••
ljUljḱa	Qr	ljUljḱa
.	Z	.

pa	Cc	pa
vRžem	Vmr1s	vrzati
ovdEka	Rgp	ovde
znAš	Vmr2s	znati
ovdE	Rgp	ovde
.	Z	.

pa	Cc	pa
prAeno	Agpnsny	praen
drvO	Ncnsn	drvo
•	X	•
gOre	Rgp	gore
dOle	Rgp	dole
pa	Cc	pa
vRžena	Ncfpn	vržena
ljUljḱa	Ncfpn	ljuljḱa
i	Cc	i
jA	Pp1-sn	ja
ondE	Rgp	onda
i	Cc	i
On	Pp3msn	on
•	X	•
tekA	Rgp	tako
ga	Pp3msa	on
ljUljam	Vmr1s	ljuljati
ljUljam	Vmr1s	ljuljati
ljUljam	Vmr1s	ljuljati
.	Z	.

aAa	Cc	a
pevAle	Vmp-pf	pevati
se	Px--sa	sebe
pEsme	Ncfpn	pesma
•	X	•
tƏg	Rgp	tako
imAlo	Vmp-sn	imati
((XXX))	X	((xxx))
ljuǵe	Ncmpa	čovek
pa	Cc	pa
od	Sg	od
vEčerom	Ncfsi	večer
se	Px--sd	sebe
zbEremo	Vmr1p	zbrati
.	Z	.

od	Sg	od
kopAnje	Ncnsa	kopanje
od	Sg	od
žEtvu	Ncfsa	žetva
od	Sg	od
onOj	Pd-nsn	onaj
pa	Cc	pa
kad	Cs	kad
pEvmo	Vmp-sm	pevmti
.	Z	.

žetvarIji	Agpfpny	žetvariji
kopačIji	Ncfpn	kopačij
••	X	••
a	Cc	a
sAg	Rgp	sad
nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

nEma	Vmr3s	imati
ljUǵe	Ncmpa	čovek
nEma/	Npmsn	nEma/
Evo	I	evo
u	Sa	u
pOlje	Ncnsa	polje
•	X	•
od	Sg	od
onAj	Pd-msan	onaj
trAp	Ncmsan	trap
ondE/	Mdm	onde/
od	Sg	od
trApan	Npmsn	Trapan
Onde/	Npmsn	Onde/
onOj	Pd-nsn	onaj
nAša	Ps1fsn	naš
plEvnja	Ncfsn	plevnja
ondE	Rgp	onda
štOno	Pd-nsn	štOno
se	Px--sa	sebe
vIdi	Vmr3s	videti
.	Z	.

a	Cc	a
odOtle	Rgp	odande
jA	Pp1-sn	ja
nesƏm	Vmr1s	biti
mRdnula	Vmp-sf	mrdnuti
etE	I	eto
Osam	Mlc	osam
gOdin	Ncfpn	godina
kakO	Cs	kako
mi	Pp1-sd	ja
je	Var3s	biti
čovEk	Ncmsn	čovek
((?))	X	((?))
Umrel	Vmp-sm	umreti
jA	Pp1-sn	ja
odOtle	Rgp	odande
nes	Ncmsan	nes
sƏm	Var1s	biti
mRdnula	Vmpf	mrdnuti
od	Sg	od
tAj	Pdsan	taj
trAp	Ncmsan	trap
.	Z	.

imAlo	Vmp-sn	imati
nEkad	Rgp	nekad
prAskova	Ncmpg	prasak
••	X	••
bEše	Vce3s	biti
jAko	Rgp	jako
krUpna	Agpfsny	krupan
prAskova	Ncmpg	prasak
tA/	Npmsn	tA/
tAj	Npmsn	tAj
nEma	Vmr3s	imati
((XXX))	X	((xxx))
.	Z	.

jA	Pp1-sn	ja
nesƏm	Vmr1s	biti
ni	Qo	ni
išlA	Vmp-sf	ići
•	X	•
paa	Cc	pa
ženAta	Ncmsn	žena
gOre	Rgp	gore
((?))	X	((?))
š/	X	š/
velI	Vmr3s	velim
••	X	••
tvOjana	Npfsn	tvOjana
prAskova	Npfsn	prAskova
veLi	Vmr3s	velim
pƏlna	Qr	pƏlna
.	Z	.

ali	Cc	ali
joj	Pp3fsd	on
nEki	Pi-msn	neki
u/	X	u/
vEli	Vmr3s	velim
obrAl	Npmsn	obrAl
pa	Cc	pa
ti	Pp2-sd	ti
iscepIli	Vmp-pm	iscepiti
grAnje	Ncnsa	granje
.	Z	.

kad	Cs	kad
od	Sg	od
tO	Pd-nsn	taj
•	X	•
sAmo	Agpnsny	sam
najdO	Ncnsn	najdo
trI	Mlc	tri
.	Z	.

Ee	I	e
Idu	Vmr3p	ići
•	X	•
vOze	Vmr3p	voziti
dRva	Ncnsg	drvo
••	X	••
Evo	I	evo
sednUli	Vmp-pm	sednuti
((XXX))	X	((xxx))
.	Z	.

Eeh	Npmsn	Eeh
•	X	•
kOj	Pi3m-n	koji
ti	Pp2-sd	ti
znAje	Vmr3s	znati
sInko	Ncmsn	sinko
jA	Pp1-sn	ja
sam	Var1s	biti
zabravIla	Vmp-sf	zabraviti
••	X	••
sƏg	Rgp	sad
tE	Cc	te
kəkvE	Ncnsn	kəkve
pEsme	Ncfpn	pesma
.	Z	.

pevAlo	Vmp-sn	pevati
se	Px--sa	sebe
••••	Vmr3s	••••ti
svAšta	Pi3n-n	svašta
.	Z	.

ali	Cc	ali
••••	Npmsn	••••
nEma	Vmr3s	imati
sAg	Rgp	sad
••	X	••
s/	X	s/
zabarIla	Vcr1s	zabarbiti
i	Cc	i
kO	Pi3n-n	ko
se	Px--sa	sebe
zovEm	Vmr1s	zvati
.	Z	.

aAa	Cc	a
••••	Npmsn	••••
jel	Qq	jel
od	Sg	od
njIvutu	Ncfsa-t	njiva
.	Z	.

znAm	Vmr1s	znati
Edna	Npfsn	Edna
bAba	Ncfsn	baba
pOeše	Vmr3s	poesati
.	Z	.

Idemo	Vmr1p	ići
u	Sa	u
((XXX))	X	((xxx))
u	Sa	u
nAdnicu	Ncfsa	nadnica
.	Z	.

zvAla	Vmp-sf	zvati
se	Px--sa	sebe
banjIta	Vmp-sn	banjiti
.	Z	.

pa	Cc	pa
E	I	e
onAm	Rgp	onamo
na	Sa	na
onAj	Pd-msn	onaj
dEl	Npmsn	Del
••	X	••
sEdnemo	Vmr1p	sesti
••	X	••
pa	Cc	pa
pEvamo	Vmr1p	pevati
.	Z	.

a	Cc	a
onA	Pp3fsn	on
pEva	Vmr3s	pevati
•	X	•
Ide	Npfsg	Ida
jOva	Mdm	jova
iz	Sg	iz
((XXX))	X	((xxx))
iz	Sg	iz
lOva	Ncmsg	lov
.	Z	.

tUj	Pd-fsa	taj
pEsmu	Ncfsa	pesma
pEva	Vmr3s	pevati
•	X	•
ali	Cc	ali
zabrAila	Vmp-sf	zabraiti
sam	Var1s	biti
kO	Pi3m-n	ko
se	Px--sa	sebe
zOveše	Vme3s	zvati
pOsle	Rgp	posle
.	Z	.

tAj	Pd-fsn	taj
pEsma	Ncfsn	pesma
onA	Pp3fsn	on
•	X	•
pEvaše	Vme3s	pevati
tAj	Pd-msn	taj
bA/	X	ba/
•	X	•
bAba	Ncfsn	baba
.	Z	.

Eo	Npmsn	Eo
rAde	Npmsn	rade
•	X	•
rAde	Npmsn	rade
unUk	Ncmsn	unuk
•	X	•
štono	Ncmpg	šton
rAdi	Vmr3s	raditi
u	Sa	u
dOm	Ncmsan	dom
((XXX))	X	((xxx))
On	Pp3msn	on
u	Sa	u
dOM	Ncmsan	dom
••••	Cc	••••
na	Sa	na
tUj	Pd-fsa	taj
bAbu	Ncfsa	baba
.	Z	.

kakO	Cs	kako
.	Z	.

pa	Cc	pa
prIče	Ncfpn	priča
nE	Qz	ne
znam	Vmr1s	znati
sInko	Ncmsn	sinko
•••	X	•••
pričAli	Vmp-pm	pričati
ljUǵe	Ncmpa	čovek
odAvna	Rgp	odavno
ali	Cc	ali
••	X	••
jA	Pp1-sn	ja
sam	Var1s	biti
••	X	••
zabarIla	Vmp-sf	zabariti
.	Z	.

decA	Ncnpn	dete
••	X	••
mlOgo	Rgp	mnogo
.	Z	.

A	Cc	a
.	Z	.

a	Cc	a
tOj	Pd-nsn	taj
prIčalo	Vmp-sn	pričati
se	Px--sa	sebe
nEki	Pipn	neki
se	Pxsa	sebe
tenčIl/	Vmr3s	tenčil/ti
nEki/	Sa	nEki/
mOre	Vmr3s	moći
lAžu	Ncfsa	laža
•••	X	•••
lAžu	Vmr3p	lagati
.	Z	.

jA	Pp1-sn	ja
sam	Var1s	biti
sAma	Agpfsny	sam
bilA	Vmp-sf	biti
Umre	Vmr3s	umreti
mi	Pp1-sd	ja
čovEk	Ncmsn	čovek
Idem	Vmr1s	ići
nOću	Rgp	noću
••••	X	••••
ostAše	Vma3p	ostati
Ovce	Ncfpn	ovca
.	Z	.

a	Cc	a
onI	Pp3mpn	oni
velU	Ncmsl	veo
Ajde	I	hajde
da	Cs	da
prodAvamo	Var1p	prodAvamo
Ovce	Ncfpn	ovca
da	Cs	da
prodAvamo	Qr	prodAvamo
.	Z	.

Oni	Pp3mpn	oni
dAvaju	Vmr3p	davati
po	Sl	po
dvE	Agpfsly	di
Iljadi	Ncfsl	iljada
za	Sa	za
ovcU	Ncfsa	ovca
pa	Cc	pa
rEko	Vma1s	reći
bOže	Npmsv	bog
bOže	Npmsv	bog
•	X	•
u	Sl	u
mUku	Ncmsl	muk
kad	Cs	kad
te	Pp2-sa	ti
vIdi	Vmr3s	videti
.	Z	.

pa	Cc	pa
rEko	Vma1s	reći
nEću	Var1s	nEću
velI	Vmr3s	velim
tI	Pp2-sn	ti
da	Cs	da
sedIš	Vmr2s	sedeti
sAg	Rgp	sad
ovdE	Rgp	ovde
sAma	Agpfsny	sam
.	Z	.

pa	Cc	pa
ću	Var1s	hteti
sedIm	Vmr1s	sedeti
•	X	•
nEće	Var3s	hteti
me	Pp1-sa	ja
nIšta	Pi3n-n	ništa
udAvi	Vmr3s	udaviti
.	Z	.

pa	Cc	pa
nOću	Rgp	noću
Idem	Vmr1s	ići
gOre	Rgp	gore
•••	X	•••
E	I	e
ondE	Rgp	onda
a	Cc	a
onO	Pd-nsn	onaj
gOre	Rgp	gore
grObišta	Ncnsg	grobište
••	X	••
a	Cc	a
onO	Pd-nsn	onaj
ni	Cc	ni
e	Vcr3s	biti
ondE	Rgp	onda
plEvnja	Ncfsn	plevnja
.	Z	.

onO	Pd-nsn	onaj
se	Px--sa	sebe
ojagnjIla	Vmp-sn	ojagnjiti
Ovca	Ncfsn	ovca
•	X	•
dvE	Mlcf-n	dva
.	Z	.

ali	Cc	ali
ne	Qz	ne
mOg	Vmr1s	moći
da	Cs	da
ji	Pp3-pa	oni
zadOjim	Vmr1s	zadojiti
•••	X	•••
a	Cc	a
trI	Mlc	tri
sAati	Sa	sAati
nOć	Ncfsa	noć
.	Z	.

jA	Pp1-sn	ja
On/	Pi3n-a	On/
((?))	X	((?))
((?))	X	((?))
Oknem	Px--sa	Oknem
gOre	Rgp	gore
.	Z	.

a	Cc	a
onO	Pd-nsn	onaj
nE	Qz	ne
e	Var3s	biti
dalEko	Rgp	daleko
grObišta	Ncnpa	grobište
rEko	Vmp-sm	reći
sAvo	Vmp-sm	savti
.	Z	.

Ajde	I	hajde
venEr	Npmsn	Vener
mi	Pp1-pn	ja
Ugasa	Npmsg	Ugas
a	Cc	a
jA	Pp1-sn	ja
sam	Var1s	biti
ponEla	Vmp-sf	poneti
venEr	Npmsn	Vener
•	X	•
Ajde	I	hajde
venEr	Npmsn	Vener
mi	Pp1n	ja
ugAsa	Vmr3p	ugati
da	Cs	da
mi	Pp1-sd	ja
upAliš	Vmr2s	upaliti
venEr	Npmsn	Vener
.	Z	.

pa	Cc	pa
sam	Var1s	biti
dOle	Rgp	dole
u	Sl	u
plEvnjutu/	Npfsl	plEvnjutu/
dOle	Rgp	dole
u	Sl	u
•	X	•
pOdrumat	Pi3n-n	pOdrumat
•	X	•
pa	Cc	pa
si	Px--sd	sebe
mIslim	Vmr1s	misliti
•	X	•
kad	Cs	kad
dOjdeše	Ncfpn	dojdeša
On	Pp3msn	on
od	Sg	od
rAbotu	Ncfsa	rabota
On	Pp3msn	on
radEl	Vmp-sm	raditi
u	Sa	u
erOziju	Ncfsa	erozija
.	Z	.

a	Cc	a
jA	Pp1-sn	ja
sam	Var1s	biti
u	Sa	u
pOdrum	Ncmsan	podrum
pripUštam	Vmr1s	pripuštati
telE	Ncnsa	tele
.	Z	.

a	Cc	a
On	Pp3msn	on
ti	Pp2-sn	ti
ḱe	Var3s	hteti
nadRne	Rgp	nadrne
na	Sa	na
vrAta	Ncnpa	vrata
pa	Cc	pa
jesi	Vcr2s	biti
tUj	Rgp	tu
rEko	Vma1s	reći
ovdE	Rgp	ovde
.	Z	.

pa	Cc	pa
pripUpš/	Npmsn	pripUpš/
jAganjciti	Npmsn	jAganjciti
((XXX))	X	((xxx))
jatAg	Npmsn	jatAg
dOem	Vmr1s	ivati
ovdEka	Rgp	ovde
dOm	Ncmsn	dom
za	Sa	za
šišE	Ncnsa	šiše
i	Cc	i
cUclu	Ncfsa	cucla
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
vRnem	Vmr1s	vrnuti
pA	Cc	pa
gOre	Rgp	gore
pa	Cc	pa
ga	Pp3msa	on
nadOjim	Vmr1s	nadojiti
sas	Si	sa
cUclu	Ncfsa	cucla
••	X	••
pa	Cc	pa
se	Px--sa	sebe
poklOpim	Vmr1s	poklopiti
((XXX))	X	((xxx))
pa	Cc	pa
se	Px--sa	sebe
tAg	Rgp	tako
vRnem	Vmr1s	vrnuti
.	Z	.

pa	Cc	pa
si	Px--sd	sebe
sAMo	Rgp	samo
mIslim	Vmr1s	misliti
štO	Qo	što
mi	Pp1-sd	ja
nEsu	Vmr3p	biti
sƏg	Rgp	sad
da	Cs	da
nadzRne	Qr	nadzRne
.	Z	.

nEma	Vmr3s	imati
nIšta	Pi3n-a	ništa
.	Z	.

a	Cc	a
edanpUt	Agpmsnn	edanput
sam	Var1s	biti
pa	Cc	pa
zaspAla	Vmp-sf	zaspati
gOre	Rgp	gore
•	X	•
čUvam	Vmr1s	čuvati
krAvu	Ncfsa	krava
•••	X	•••
a	Cc	a
bEše	Vce3s	biti
mi	Pp1-sd	ja
baštA	Ncmsn	bašta
umrEl	Vmp-sm	umreti
ondE	Rgp	onda
.	Z	.

Aaa	I	a
••	X	••
i	Cc	i
Uze	Npmsn	Uze
jEDan	Mlcmsn	jedan
sAt/	Npmsn	sAt/
ovAk	Rgp	ovako
sAt	Ncmsn	sat
Imam	Vmr1s	imati
na	Sa	na
rUku	Ncfsa	ruka
.	Z	.

i	Cc	i
d/	Vmm2s	d/
((?))	X	((?))
kao	Cs	kao
dojdE	Vmr3s	doći
On	Pp3msn	on
•	X	•
na	Sa	na
vrAta	Ncnpa	vrata
••	X	••
mOj	Ps1msn	moj
baštA	Ncmsn	bašta
.	Z	.

pa	Cc	pa
velI	Vmr3s	velim
